Date,EPI.Tube.Num,Tank,pH Treatment,TimePoint,sampleno,order,treatment
16-Mar-16,EPI_41,Time0,Field,D0,103,1,Low_D10
16-Mar-16,EPI_42,Time0,Field,D0,104,2,Low_D10
16-Mar-16,EPI_43,Time0,Field,D0,111,3,Super.Low_D10
16-Mar-16,EPI_44,Time0,Field,D0,113,4,Super.Low_D10
26-Mar-16,EPI_103,Tank11,Low,D10,119,5,Ambient_D10
26-Mar-16,EPI_104,Tank11,Low,D10,120,6,Ambient_D10
26-Mar-16,EPI_111,Tank12,Super.Low,D10,127,7,Low_D10
26-Mar-16,EPI_113,Tank12,Super.Low,D10,128,8,Low_D10
26-Mar-16,EPI_119,Tank13,Ambient,D10,135,9,Ambient_D10
26-Mar-16,EPI_120,Tank13,Ambient,D10,136,10,Ambient_D10
26-Mar-16,EPI_127,Tank14,Low,D10,143,11,Super.Low_D10
26-Mar-16,EPI_128,Tank14,Low,D10,145,12,Super.Low_D10
26-Mar-16,EPI_135,Tank15,Ambient,D10,151,13,Ambient_D135
26-Mar-16,EPI_136,Tank15,Ambient,D10,152,14,Ambient_D135
26-Mar-16,EPI_143,Tank16,Super.Low,D10,153,15,Ambient_D135
26-Mar-16,EPI_145,Tank16,Super.Low,D10,154,16,Ambient_D135
29-Jul-16,EPI_151,Ambient,Ambient,D135,159,17,Low_D135
29-Jul-16,EPI_152,Ambient,Ambient,D135,160,18,Low_D135
29-Jul-16,EPI_153,Ambient,Ambient,D135,161,19,Low_D135
29-Jul-16,EPI_154,Ambient,Ambient,D135,162,20,Low_D135
29-Jul-16,EPI_159,Low,Low,D135,167,21,Super.Low_D135
29-Jul-16,EPI_160,Low,Low,D135,168,22,Super.Low_D135
29-Jul-16,EPI_161,Low,Low,D135,169,23,Super.Low_D135
29-Jul-16,EPI_162,Low,Low,D135,170,24,Super.Low_D135
29-Jul-16,EPI_167,Super.Low,Super.Low,D135,175,25,Low-Ambient_D145
29-Jul-16,EPI_168,Super.Low,Super.Low,D135,176,26,Low-Ambient_D145
29-Jul-16,EPI_169,Super.Low,Super.Low,D135,181,27,Ambient-Ambient_D145
29-Jul-16,EPI_170,Super.Low,Super.Low,D135,182,28,Ambient-Ambient_D145
8-Aug-16,EPI_175,Bin1,Low-Ambient,D145,184,29,Ambient-Ambient_D145
8-Aug-16,EPI_176,Bin1,Low-Ambient,D145,185,30,Ambient-Ambient_D145
8-Aug-16,EPI_181,Bin2,Ambient-Ambient,D145,187,31,Super.Low-Ambient_D145
8-Aug-16,EPI_182,Bin2,Ambient-Ambient,D145,188,32,Super.Low-Ambient_D145
8-Aug-16,EPI_184,Bin3,Ambient-Ambient,D145,193,33,Low-Ambient_D145
8-Aug-16,EPI_185,Bin3,Ambient-Ambient,D145,194,34,Low-Ambient_D145
8-Aug-16,EPI_187,Bin4,Super.Low-Ambient,D145,199,35,Super.Low-Ambient_D145
8-Aug-16,EPI_188,Bin4,Super.Low-Ambient,D145,200,36,Super.Low-Ambient_D145
8-Aug-16,EPI_193,Bin5,Low-Ambient,D145,205,37,Ambient-Low_D145
8-Aug-16,EPI_194,Bin5,Low-Ambient,D145,206,38,Ambient-Low_D145
8-Aug-16,EPI_199,Bin6,Super.Low-Ambient,D145,208,39,Low-Low_D145
8-Aug-16,EPI_200,Bin6,Super.Low-Ambient,D145,209,40,Low-Low_D145
8-Aug-16,EPI_205,Bin7,Ambient-Low,D145,214,41,Super.Low-Low_D145
8-Aug-16,EPI_206,Bin7,Ambient-Low,D145,215,42,Super.Low-Low_D145
8-Aug-16,EPI_208,Bin8,Low-Low,D145,220,43,Super.Low-Low_D145
8-Aug-16,EPI_209,Bin8,Low-Low,D145,221,44,Super.Low-Low_D145
8-Aug-16,EPI_214,Bin9,Super.Low-Low,D145,226,45,Ambient-Low_D145
8-Aug-16,EPI_215,Bin9,Super.Low-Low,D145,227,46,Ambient-Low_D145
8-Aug-16,EPI_220,Bin10,Super.Low-Low,D145,229,47,Low-Low_D145
8-Aug-16,EPI_221,Bin10,Super.Low-Low,D145,230,48,Low-Low_D145
8-Aug-16,EPI_226,Bin11,Ambient-Low,D145,41,49,Field_D0
8-Aug-16,EPI_227,Bin11,Ambient-Low,D145,42,50,Field_D0
8-Aug-16,EPI_229,Bin12,Low-Low,D145,43,51,Field_D0
8-Aug-16,EPI_230,Bin12,Low-Low,D145,44,52,Field_D0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
