Date,EPI.Tube.Num,Tank,Treatment,TimePoint
26-Mar-16,EPI_103,Tank11,Low,Day10
26-Mar-16,EPI_104,Tank11,Low,Day10
26-Mar-16,EPI_111,Tank12,Super.Low,Day10
26-Mar-16,EPI_113,Tank12,Super.Low,Day10
26-Mar-16,EPI_119,Tank13,Ambient,Day10
26-Mar-16,EPI_120,Tank13,Ambient,Day10
26-Mar-16,EPI_127,Tank14,Low,Day10
26-Mar-16,EPI_128,Tank14,Low,Day10
26-Mar-16,EPI_135,Tank15,Ambient,Day10
26-Mar-16,EPI_136,Tank15,Ambient,Day10
26-Mar-16,EPI_143,Tank16,Super.Low,Day10
26-Mar-16,EPI_145,Tank16,Super.Low,Day10
29-Jul-16,EPI_151,Ambient,Ambient,Day135
29-Jul-16,EPI_152,Ambient,Ambient,Day135
29-Jul-16,EPI_153,Ambient,Ambient,Day135
29-Jul-16,EPI_154,Ambient,Ambient,Day135
29-Jul-16,EPI_159,Low,Low,Day135
29-Jul-16,EPI_160,Low,Low,Day135
29-Jul-16,EPI_161,Low,Low,Day135
29-Jul-16,EPI_162,Low,Low,Day135
29-Jul-16,EPI_167,Super.Low,Super.Low,Day135
29-Jul-16,EPI_168,Super.Low,Super.Low,Day135
29-Jul-16,EPI_169,Super.Low,Super.Low,Day135
29-Jul-16,EPI_170,Super.Low,Super.Low,Day135
8-Aug-16,EPI_175,Bin1,Low-Ambient,Day145
8-Aug-16,EPI_176,Bin1,Low-Ambient,Day145
8-Aug-16,EPI_181,Bin2,Ambient-Ambient,Day145
8-Aug-16,EPI_182,Bin2,Ambient-Ambient,Day145
8-Aug-16,EPI_184,Bin3,Ambient-Ambient,Day145
8-Aug-16,EPI_185,Bin3,Ambient-Ambient,Day145
8-Aug-16,EPI_187,Bin4,Super.Low-Ambient,Day145
8-Aug-16,EPI_188,Bin4,Super.Low-Ambient,Day145
8-Aug-16,EPI_193,Bin5,Low-Ambient,Day145
8-Aug-16,EPI_194,Bin5,Low-Ambient,Day145
8-Aug-16,EPI_199,Bin6,Super.Low-Ambient,Day145
8-Aug-16,EPI_200,Bin6,Super.Low-Ambient,Day145
8-Aug-16,EPI_205,Bin7,Ambient-Low,Day145
8-Aug-16,EPI_206,Bin7,Ambient-Low,Day145
8-Aug-16,EPI_208,Bin8,Low-Low,Day145
8-Aug-16,EPI_209,Bin8,Low-Low,Day145
8-Aug-16,EPI_214,Bin9,Super.Low-Low,Day145
8-Aug-16,EPI_215,Bin9,Super.Low-Low,Day145
8-Aug-16,EPI_220,Bin10,Super.Low-Low,Day145
8-Aug-16,EPI_221,Bin10,Super.Low-Low,Day145
8-Aug-16,EPI_226,Bin11,Ambient-Low,Day145
8-Aug-16,EPI_227,Bin11,Ambient-Low,Day145
8-Aug-16,EPI_229,Bin12,Low-Low,Day145
8-Aug-16,EPI_230,Bin12,Low-Low,Day145
21-Aug-16,EPI_235,Bin1,Low-Ambient,Day158
21-Aug-16,EPI_236,Bin1,Low-Ambient,Day158
21-Aug-16,EPI_242,Bin2,Ambient-Ambient,Day158
21-Aug-16,EPI_243,Bin2,Ambient-Ambient,Day158
21-Aug-16,EPI_246,Bin3,Ambient-Ambient,Day158
21-Aug-16,EPI_247,Bin3,Ambient-Ambient,Day158
21-Aug-16,EPI_250,Bin4,Super.Low-Ambient,Day158
21-Aug-16,EPI_251,Bin4,Super.Low-Ambient,Day158
21-Aug-16,EPI_257,Bin5,Low-Ambient,Day158
21-Aug-16,EPI_258,Bin5,Low-Ambient,Day158
21-Aug-16,EPI_264,Bin6,Super.Low-Ambient,Day158
21-Aug-16,EPI_265,Bin6,Super.Low-Ambient,Day158
21-Aug-16,EPI_271,Bin7,Ambient-Low,Day158
21-Aug-16,EPI_272,Bin7,Ambient-Low,Day158
21-Aug-16,EPI_275,Bin8,Low-Low,Day158
21-Aug-16,EPI_276,Bin8,Low-Low,Day158
21-Aug-16,EPI_282,Bin9,Super.Low-Low,Day158
21-Aug-16,EPI_283,Bin9,Super.Low-Low,Day158
21-Aug-16,EPI_289,Bin10,Super.Low-Low,Day158
21-Aug-16,EPI_290,Bin10,Super.Low-Low,Day158
21-Aug-16,EPI_298,Bin11,Ambient-Low,Day158
21-Aug-16,EPI_299,Bin11,Ambient-Low,Day158
21-Aug-16,EPI_302,Bin12,Low-Low,Day158
21-Aug-16,EPI_303,Bin12,Low-Low,Day158
16-Mar-16,EPI_41,Time0,Field,Day0
16-Mar-16,EPI_42,Time0,Field,Day0
16-Mar-16,EPI_43,Time0,Field,Day0
16-Mar-16,EPI_44,Time0,Field,Day0
17-Mar-16,EPI_45,Tank11,Low,Day1
17-Mar-16,EPI_46,Tank11,Low,Day1
17-Mar-16,EPI_47,Tank12,Super.Low,Day1
17-Mar-16,EPI_48,Tank12,Super.Low,Day1
17-Mar-16,EPI_49,Tank13,Ambient,Day1
17-Mar-16,EPI_50,Tank13,Ambient,Day1
17-Mar-16,EPI_51,Tank14,Low,Day1
17-Mar-16,EPI_52,Tank14,Low,Day1
17-Mar-16,EPI_53,Tank15,Ambient,Day1
17-Mar-16,EPI_54,Tank15,Ambient,Day1
17-Mar-16,EPI_55,Tank16,Super.Low,Day1
17-Mar-16,EPI_56,Tank16,Super.Low,Day1
