chr	start	end	strand	pvalue	qvalue	meth.diff
PGA_scaffold10__49_contigs__length_53961475	264001	265000	*	0.000315029346071218	0.00831795838847355	-63.7362637362637
PGA_scaffold10__49_contigs__length_53961475	913001	914000	*	6.25199163627579e-06	0.000447757764964904	-68.8095238095238
PGA_scaffold10__49_contigs__length_53961475	1506001	1507000	*	2.81117788424171e-06	0.000237896046623634	-57.7777777777778
PGA_scaffold10__49_contigs__length_53961475	1507001	1508000	*	1.22660061127709e-05	0.000756358625726966	-100
PGA_scaffold10__49_contigs__length_53961475	1532001	1533000	*	0.000178458550166847	0.00555310627228114	-100
PGA_scaffold10__49_contigs__length_53961475	2242001	2243000	*	6.1747495198152e-05	0.00254718419257685	-100
PGA_scaffold10__49_contigs__length_53961475	2479001	2480000	*	1.89348878389794e-05	0.00105413221796856	-56.140350877193
PGA_scaffold10__49_contigs__length_53961475	3237001	3238000	*	1.98303670970321e-05	0.00108890534350558	-62.5
PGA_scaffold10__49_contigs__length_53961475	4833001	4834000	*	0.000106825589045306	0.00380972170087288	-93.75
PGA_scaffold10__49_contigs__length_53961475	5233001	5234000	*	0.000282628429479529	0.00769898629795938	-93.1034482758621
PGA_scaffold10__49_contigs__length_53961475	6121001	6122000	*	8.46043331647186e-06	0.000565460574386109	-57.1428571428571
PGA_scaffold10__49_contigs__length_53961475	6144001	6145000	*	7.11868216152088e-05	0.00283396240137554	-63.3333333333333
PGA_scaffold10__49_contigs__length_53961475	6909001	6910000	*	0.000309630687632592	0.00821832315042412	-54.1176470588235
PGA_scaffold10__49_contigs__length_53961475	7521001	7522000	*	5.10338496876637e-17	6.35168302831922e-14	-69.9430199430199
PGA_scaffold10__49_contigs__length_53961475	7714001	7715000	*	6.46085734683957e-05	0.00263735371955302	-57.5438596491228
PGA_scaffold10__49_contigs__length_53961475	7850001	7851000	*	1.51496907323648e-08	3.18379673309634e-06	-82.8125
PGA_scaffold10__49_contigs__length_53961475	8042001	8043000	*	8.21611278219599e-05	0.00315249255377638	-68.3333333333333
PGA_scaffold10__49_contigs__length_53961475	8903001	8904000	*	2.15477389159922e-06	0.000192920679754011	-60.7843137254902
PGA_scaffold10__49_contigs__length_53961475	9852001	9853000	*	5.22700834131915e-13	3.46364184832205e-10	-65.1639344262295
PGA_scaffold10__49_contigs__length_53961475	11267001	11268000	*	1.38460136165627e-06	0.000135762073580963	-52.6315789473684
PGA_scaffold10__49_contigs__length_53961475	12317001	12318000	*	0.00023268098129772	0.00672387630981922	-53.2085561497326
PGA_scaffold10__49_contigs__length_53961475	13067001	13068000	*	0.000183905972711489	0.00567738328370788	-66.6666666666667
PGA_scaffold10__49_contigs__length_53961475	13325001	13326000	*	1.96104431179393e-05	0.00107942000137697	-80
PGA_scaffold10__49_contigs__length_53961475	13397001	13398000	*	1.42119890272829e-07	2.11383036796507e-05	-70.3703703703704
PGA_scaffold10__49_contigs__length_53961475	13655001	13656000	*	2.02509921213094e-06	0.000184336738579056	-65.9919028340081
PGA_scaffold10__49_contigs__length_53961475	13888001	13889000	*	3.418643866959e-07	4.4178549014809e-05	-52.2527472527473
PGA_scaffold10__49_contigs__length_53961475	17093001	17094000	*	2.84157095150539e-07	3.77944956682431e-05	-51.4705882352941
PGA_scaffold10__49_contigs__length_53961475	17098001	17099000	*	2.8909570355359e-06	0.000243190871378238	-75
PGA_scaffold10__49_contigs__length_53961475	17283001	17284000	*	0.0001081136824117	0.00384595202988269	-57.4660633484163
PGA_scaffold10__49_contigs__length_53961475	17998001	17999000	*	6.59976912771289e-05	0.00268136098817304	-63.3333333333333
PGA_scaffold10__49_contigs__length_53961475	18366001	18367000	*	1.28444505745165e-08	2.77334123052415e-06	-88.8888888888889
PGA_scaffold10__49_contigs__length_53961475	19100001	19101000	*	3.029612868924e-09	8.07252134062341e-07	-100
PGA_scaffold10__49_contigs__length_53961475	19973001	19974000	*	1.86780702063821e-07	2.66031739350572e-05	-54.5584045584045
PGA_scaffold10__49_contigs__length_53961475	20256001	20257000	*	5.37803001012253e-05	0.00229865980515151	-54.5454545454545
PGA_scaffold10__49_contigs__length_53961475	20374001	20375000	*	0.000201461787087547	0.00606159824414622	-56
PGA_scaffold10__49_contigs__length_53961475	21074001	21075000	*	6.73756202968273e-14	5.36788565518178e-11	-100
PGA_scaffold10__49_contigs__length_53961475	21404001	21405000	*	0.000164534267546109	0.00523164700864249	-52.6315789473684
PGA_scaffold10__49_contigs__length_53961475	21407001	21408000	*	4.75366428769657e-05	0.00210157936403857	-54.1666666666667
PGA_scaffold10__49_contigs__length_53961475	21738001	21739000	*	8.26511337915638e-06	0.00055604197096437	-69.2307692307692
PGA_scaffold10__49_contigs__length_53961475	22163001	22164000	*	6.87852035711967e-05	0.00275954383090152	-100
PGA_scaffold10__49_contigs__length_53961475	22182001	22183000	*	1.12458484292448e-09	3.42158936566404e-07	-100
