ID,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual
PGA_scaffold1:46782697-46782715,0.462920859327345,0.256351959068631,0.163322136176412,2.24099977657609,0.111979897259775,6,11.0739032007399,-8.14780640147972,-1.53673354731464,0.346763562147944,13
PGA_scaffold1:8853971-8854263,0.128210819252547,-0.144223299731032,0.182191784288546,0.470612196926313,0.792678745833623,6,9.74564182345424,-5.49128364690848,2.14601352659973,0.531101540195905,16
PGA_scaffold1:9985430-9985444,0.385889926978926,0.181186569305235,0.201778711084388,1.88511772041403,0.156809817099051,6,7.3475063939661,-0.695012787932193,6.61664427613177,0.610719723703151,15
PGA_scaffold10:11112906-11112925,0.359556572631448,0.159418001578776,0.19448612137304,1.7965381222634,0.170511251032396,6,8.30902173711908,-2.61804347423816,5.01925369927005,0.605197622507659,16
PGA_scaffold10:18561472-18561475,0.377754872769451,0.204909004094299,0.0968957114413778,2.18550131203544,0.101277970720775,6,25.4165405197668,-36.8330810395336,-28.586704227098,0.168998020123154,18
PGA_scaffold11:45690766-45690850,0.510456695734682,0.374472444549871,0.10697298577061,3.75379274649195,0.0167049293660241,6,23.0419547724185,-32.083909544837,-23.8375327324014,0.205977954324225,18
PGA_scaffold11:47140700-47140954,0.28720325380836,0.0775571519872891,0.144094957154884,1.36994321055148,0.284201880866862,6,15.3981475198518,-16.7962950397035,-8.84783552819946,0.352977063516952,17
PGA_scaffold12:23168536-23168543,0.188641039679659,-0.0649086354204471,0.23630240777486,0.744000321062056,0.601965619436598,6,4.02448722967873,5.95102554064254,13.5883227141508,0.893421246723136,16
PGA_scaffold13:17937026-17937054,0.377844094498823,0.194857063469065,0.088647378099877,2.06486816236379,0.120377133872374,6,26.5716866863298,-39.1433733726596,-31.1949138611556,0.133592079947703,17
PGA_scaffold14:19165388-19165418,0.342642464746124,0.160043149397825,0.152667204879065,1.87647179340487,0.148686747992846,6,14.5055366677146,-15.0110733354292,-6.76469652299354,0.419530958020553,18
PGA_scaffold17:11292333-11292361,0.582406304252819,0.451908274331825,0.217293772737004,4.46295093194448,0.00976527830248748,6,5.86945440247952,2.26109119504096,9.89838836854918,0.755465338724495,16
PGA_scaffold18:6823471-6823718,0.225234445581301,-0.0514675381396636,0.191959600641919,0.813996497431818,0.5591094441327,6,8.19738562364749,-2.39477124729498,4.57535466758296,0.515878835900473,14
PGA_scaffold2:27779656-27779904,0.212251381913441,-0.0194393881120178,0.207500684835713,0.916097701648272,0.494019451304598,6,7.01091845761765,-0.0218369152352942,7.92662259626875,0.731961081523928,17
PGA_scaffold2:5297602-5297620,0.168643587869816,-0.128269416462393,0.178563326043976,0.567989900776204,0.723392862364683,6,9.64421823377935,-5.28843646755869,1.68168944731924,0.446388059710424,14
PGA_scaffold2:69261982-69262034,0.202982503037037,-0.0184112461193413,0.0816077469064697,0.916839358882094,0.492352670180546,6,29.5376060870471,-45.0752121740941,-36.8288353616585,0.119876838392708,18
PGA_scaffold3:32329148-32329168,0.43208819862643,0.254615760697189,0.0992271089639655,2.43467776556214,0.0801023886791891,6,23.1139118877155,-32.227823775431,-24.5905266019227,0.157536306453547,16
PGA_scaffold3:4631938-4631970,0.332390434325021,0.12376244505159,0.194890946395217,1.59322071541122,0.218394589101056,6,8.26327608626242,-2.52655217252483,5.11074500098338,0.607719695789176,16
PGA_scaffold3:47868038-47868247,0.251431587224402,0.0434959170089578,0.139148738110485,1.20917968025347,0.344585086894875,6,16.7307447030768,-19.4614894061535,-11.2151125937179,0.348522683719326,18
PGA_scaffold4:19617132-19617268,0.368777106832376,0.183123314724251,0.215531079472785,1.9863699127546,0.132467611556667,6,6.1375974323832,1.7248051352336,9.67326464673765,0.789711985717966,17
PGA_scaffold4:35990514-35990762,0.206372565515997,-0.0140794996184479,0.21571190639161,0.936133509977049,0.481196384528293,6,6.2091367507967,1.58172649840659,9.82810331084221,0.837569278063852,18
PGA_scaffold4:50246887-50246950,0.373003426470831,0.198837711601617,0.121212044541149,2.14165817164952,0.106899455513689,6,20.0427920616846,-26.0855841233693,-17.8392073109337,0.26446247535322,18
PGA_scaffold5:60447972-60448019,0.313675388280185,0.0991989471177429,0.189469051411056,1.46251675279622,0.256266871090924,6,8.88399417936778,-3.76798835873556,3.86930881477265,0.574376343081689,16
PGA_scaffold6:10182873-10182921,0.254269954578229,0.0471227197388487,0.0261583677365071,1.22748418425854,0.336804885395935,6,56.8437276661077,-99.6874553322154,-91.4410785197798,0.0123166836474901,18
PGA_scaffold7:22129088-22129115,0.606539292712366,0.475385723616489,0.146602741256962,4.62464953789374,0.00940869126633866,6,14.0558538943718,-14.1117077887437,-6.8000507246797,0.322385456160837,15
PGA_scaffold7:7651939-7651957,0.243416314966223,-0.0267921439744117,0.230521755625155,0.900846390673884,0.507341018922985,6,4.53617950546306,4.92764098907388,11.8977669039518,0.74396391743105,14
PGA_scaffold9:6120265-6120309,0.424334817610108,0.244439448113267,0.19710471879897,2.35878677031517,0.0874466354084383,6,8.01478603911135,-2.0295720782227,5.60772509528551,0.621604322765134,16
