Entry	Entry name	Protein names	Gene ontology IDs	Gene ontology (GO)
A8TX70	CO6A5_HUMAN	Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain) (von Willebrand factor A domain-containing protein 4)	GO:0005576; GO:0005581; GO:0007155; GO:0030020; GO:0062023	collagen trimer [GO:0005581]; collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576]; extracellular matrix structural constituent conferring tensile strength [GO:0030020]; cell adhesion [GO:0007155]
E9Q5G3	KIF23_MOUSE	Kinesin-like protein KIF23	GO:0000281; GO:0000915; GO:0003777; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005813; GO:0005819; GO:0005871; GO:0005874; GO:0007018; GO:0008017; GO:0016887; GO:0030496; GO:0032467; GO:0045171; GO:0051256; GO:0072383; GO:0072686; GO:0090543; GO:0097149	centralspindlin complex [GO:0097149]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; Flemming body [GO:0090543]; intercellular bridge [GO:0045171]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; actomyosin contractile ring assembly [GO:0000915]; microtubule-based movement [GO:0007018]; mitotic cytokinesis [GO:0000281]; mitotic spindle midzone assembly [GO:0051256]; plus-end-directed vesicle transport along microtubule [GO:0072383]; positive regulation of cytokinesis [GO:0032467]
G5EFI8	PLCE1_CAEEL	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-epsilon plc-1) (Phosphoinositide-specific phospholipase PLC210) (Phospholipase C-epsilon plc-1) (PLC-epsilon plc-1)	GO:0002253; GO:0004435; GO:0005085; GO:0005095; GO:0005623; GO:0007265; GO:0008340; GO:0017016; GO:0032959; GO:0042307; GO:0046872; GO:0048015; GO:0050830; GO:0051209; GO:1902477; GO:1902634	cell [GO:0005623]; GTPase inhibitor activity [GO:0005095]; guanyl-nucleotide exchange factor activity [GO:0005085]; metal ion binding [GO:0046872]; phosphatidylinositol phospholipase C activity [GO:0004435]; Ras GTPase binding [GO:0017016]; 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate catabolic process [GO:1902634]; activation of immune response [GO:0002253]; defense response to Gram-positive bacterium [GO:0050830]; determination of adult lifespan [GO:0008340]; inositol trisphosphate biosynthetic process [GO:0032959]; phosphatidylinositol-mediated signaling [GO:0048015]; positive regulation of protein import into nucleus [GO:0042307]; Ras protein signal transduction [GO:0007265]; regulation of defense response to bacterium, incompatible interaction [GO:1902477]; release of sequestered calcium ion into cytosol [GO:0051209]
O14513	NCKP5_HUMAN	Nck-associated protein 5 (NAP-5) (Peripheral clock protein)	GO:0001578; GO:0007019; GO:0035371	microtubule plus-end [GO:0035371]; microtubule bundle formation [GO:0001578]; microtubule depolymerization [GO:0007019]
O95714	HERC2_HUMAN	E3 ubiquitin-protein ligase HERC2 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 2) (HECT-type E3 ubiquitin transferase HERC2)	GO:0004842; GO:0005085; GO:0005634; GO:0005654; GO:0005737; GO:0005814; GO:0006303; GO:0006886; GO:0006974; GO:0007283; GO:0008270; GO:0016020; GO:0016567; GO:0031625; GO:0032183; GO:0043161	centriole [GO:0005814]; cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; guanyl-nucleotide exchange factor activity [GO:0005085]; SUMO binding [GO:0032183]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; cellular response to DNA damage stimulus [GO:0006974]; double-strand break repair via nonhomologous end joining [GO:0006303]; intracellular protein transport [GO:0006886]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]; spermatogenesis [GO:0007283]
O95819	M4K4_HUMAN	Mitogen-activated protein kinase kinase kinase kinase 4 (EC 2.7.11.1) (HPK/GCK-like kinase HGK) (MAPK/ERK kinase kinase kinase 4) (MEK kinase kinase 4) (MEKKK 4) (Nck-interacting kinase)	GO:0000165; GO:0001953; GO:0004111; GO:0004674; GO:0005524; GO:0005737; GO:0005925; GO:0006468; GO:0008017; GO:0023014; GO:0030335; GO:0031098; GO:0032014; GO:0032147; GO:0035556; GO:0043066; GO:0043547; GO:0046328; GO:0048812; GO:0051549; GO:0051894; GO:0061179; GO:0070571; GO:1903393	cytoplasm [GO:0005737]; focal adhesion [GO:0005925]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; microtubule binding [GO:0008017]; protein serine/threonine kinase activity [GO:0004674]; activation of protein kinase activity [GO:0032147]; intracellular signal transduction [GO:0035556]; MAPK cascade [GO:0000165]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell-matrix adhesion [GO:0001953]; negative regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0061179]; negative regulation of neuron projection regeneration [GO:0070571]; neuron projection morphogenesis [GO:0048812]; positive regulation of adherens junction organization [GO:1903393]; positive regulation of ARF protein signal transduction [GO:0032014]; positive regulation of cell migration [GO:0030335]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of GTPase activity [GO:0043547]; positive regulation of keratinocyte migration [GO:0051549]; protein phosphorylation [GO:0006468]; regulation of JNK cascade [GO:0046328]; signal transduction by protein phosphorylation [GO:0023014]; stress-activated protein kinase signaling cascade [GO:0031098]
P10394	POL4_DROME	Retrovirus-related Pol polyprotein from transposon 412 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; DNA integration [GO:0015074]
P36956	SRBP1_HUMAN	Sterol regulatory element-binding protein 1 (SREBP-1) (Class D basic helix-loop-helix protein 1) (bHLHd1) (Sterol regulatory element-binding transcription factor 1) [Cleaved into: Processed sterol regulatory element-binding protein 1]	GO:0000122; GO:0000139; GO:0000790; GO:0000977; GO:0000978; GO:0000981; GO:0001228; GO:0003062; GO:0003677; GO:0003682; GO:0003700; GO:0004879; GO:0005634; GO:0005635; GO:0005654; GO:0005737; GO:0005783; GO:0005789; GO:0005829; GO:0006357; GO:0006629; GO:0007568; GO:0007623; GO:0008203; GO:0008286; GO:0008610; GO:0009267; GO:0009749; GO:0010867; GO:0012507; GO:0016021; GO:0019217; GO:0019901; GO:0030324; GO:0031065; GO:0031647; GO:0032094; GO:0032526; GO:0032570; GO:0032810; GO:0032991; GO:0033762; GO:0033993; GO:0042789; GO:0044877; GO:0045444; GO:0045540; GO:0045542; GO:0045944; GO:0046676; GO:0046983; GO:0051591; GO:0071398; GO:1902895; GO:1903146; GO:1903214	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; ER to Golgi transport vesicle membrane [GO:0012507]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; nuclear chromatin [GO:0000790]; nuclear envelope [GO:0005635]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; nuclear receptor activity [GO:0004879]; protein dimerization activity [GO:0046983]; protein kinase binding [GO:0019901]; protein-containing complex binding [GO:0044877]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; sterol response element binding [GO:0032810]; aging [GO:0007568]; cellular response to fatty acid [GO:0071398]; cellular response to starvation [GO:0009267]; cholesterol metabolic process [GO:0008203]; circadian rhythm [GO:0007623]; fat cell differentiation [GO:0045444]; insulin receptor signaling pathway [GO:0008286]; lipid biosynthetic process [GO:0008610]; lipid metabolic process [GO:0006629]; lung development [GO:0030324]; mRNA transcription by RNA polymerase II [GO:0042789]; negative regulation of insulin secretion [GO:0046676]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cholesterol biosynthetic process [GO:0045542]; positive regulation of histone deacetylation [GO:0031065]; positive regulation of pri-miRNA transcription by RNA polymerase II [GO:1902895]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of triglyceride biosynthetic process [GO:0010867]; regulation of autophagy of mitochondrion [GO:1903146]; regulation of cholesterol biosynthetic process [GO:0045540]; regulation of fatty acid metabolic process [GO:0019217]; regulation of heart rate by chemical signal [GO:0003062]; regulation of protein stability [GO:0031647]; regulation of protein targeting to mitochondrion [GO:1903214]; regulation of transcription by RNA polymerase II [GO:0006357]; response to cAMP [GO:0051591]; response to food [GO:0032094]; response to glucagon [GO:0033762]; response to glucose [GO:0009749]; response to lipid [GO:0033993]; response to progesterone [GO:0032570]; response to retinoic acid [GO:0032526]
P49109	FMO5_CAVPO	Dimethylaniline monooxygenase [N-oxide-forming] 5 (EC 1.14.13.8) (Dimethylaniline oxidase 5) (Hepatic flavin-containing monooxygenase 5) (FMO 5)	GO:0004499; GO:0005789; GO:0005829; GO:0016021; GO:0050660; GO:0050661	cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; flavin adenine dinucleotide binding [GO:0050660]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]
Q07352	TISB_HUMAN	mRNA decay activator protein ZFP36L1 (Butyrate response factor 1) (EGF-response factor 1) (ERF-1) (TPA-induced sequence 11b) (Zinc finger protein 36, C3H1 type-like 1) (ZFP36-like 1)	GO:0000165; GO:0000288; GO:0000932; GO:0000981; GO:0001570; GO:0003342; GO:0003677; GO:0003700; GO:0003723; GO:0003729; GO:0003730; GO:0005634; GO:0005737; GO:0005829; GO:0006397; GO:0006915; GO:0007507; GO:0008283; GO:0009611; GO:0010468; GO:0010837; GO:0014065; GO:0021915; GO:0031086; GO:0031440; GO:0032869; GO:0033077; GO:0035264; GO:0035925; GO:0038066; GO:0043488; GO:0043491; GO:0044344; GO:0045577; GO:0045600; GO:0045616; GO:0045647; GO:0045657; GO:0045661; GO:0046872; GO:0048382; GO:0051028; GO:0060710; GO:0060712; GO:0061158; GO:0070371; GO:0071320; GO:0071356; GO:0071364; GO:0071375; GO:0071385; GO:0071456; GO:0071472; GO:0071560; GO:0071889; GO:0072091; GO:0097403; GO:1900153; GO:1901991; GO:1902172; GO:1904582; GO:1990904	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; P-body [GO:0000932]; ribonucleoprotein complex [GO:1990904]; 14-3-3 protein binding [GO:0071889]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; mRNA 3'-UTR AU-rich region binding [GO:0035925]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; 3'-UTR-mediated mRNA destabilization [GO:0061158]; apoptotic process [GO:0006915]; cell population proliferation [GO:0008283]; cellular response to cAMP [GO:0071320]; cellular response to epidermal growth factor stimulus [GO:0071364]; cellular response to fibroblast growth factor stimulus [GO:0044344]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to hypoxia [GO:0071456]; cellular response to insulin stimulus [GO:0032869]; cellular response to peptide hormone stimulus [GO:0071375]; cellular response to raffinose [GO:0097403]; cellular response to salt stress [GO:0071472]; cellular response to transforming growth factor beta stimulus [GO:0071560]; cellular response to tumor necrosis factor [GO:0071356]; chorio-allantoic fusion [GO:0060710]; ERK1 and ERK2 cascade [GO:0070371]; heart development [GO:0007507]; MAPK cascade [GO:0000165]; mesendoderm development [GO:0048382]; mRNA processing [GO:0006397]; mRNA transport [GO:0051028]; multicellular organism growth [GO:0035264]; negative regulation of erythrocyte differentiation [GO:0045647]; negative regulation of mitotic cell cycle phase transition [GO:1901991]; neural tube development [GO:0021915]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]; nuclear-transcribed mRNA catabolic process, deadenylation-independent decay [GO:0031086]; p38MAPK cascade [GO:0038066]; phosphatidylinositol 3-kinase signaling [GO:0014065]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of intracellular mRNA localization [GO:1904582]; positive regulation of monocyte differentiation [GO:0045657]; positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900153]; proepicardium development [GO:0003342]; protein kinase B signaling [GO:0043491]; regulation of B cell differentiation [GO:0045577]; regulation of gene expression [GO:0010468]; regulation of keratinocyte apoptotic process [GO:1902172]; regulation of keratinocyte differentiation [GO:0045616]; regulation of keratinocyte proliferation [GO:0010837]; regulation of mRNA 3'-end processing [GO:0031440]; regulation of mRNA stability [GO:0043488]; regulation of myoblast differentiation [GO:0045661]; regulation of stem cell proliferation [GO:0072091]; response to wounding [GO:0009611]; spongiotrophoblast layer development [GO:0060712]; T cell differentiation in thymus [GO:0033077]; vasculogenesis [GO:0001570]
