chr	start	end	strand	pvalue	qvalue	meth.diff
PGA_scaffold10__49_contigs__length_53961475	813001	814000	*	0.000146933094115798	0.00480590024325648	78.2608695652174
PGA_scaffold10__49_contigs__length_53961475	1073001	1074000	*	0.000282447773526696	0.00769662625775301	73.3333333333333
PGA_scaffold10__49_contigs__length_53961475	1153001	1154000	*	6.77776410030796e-05	0.00273327355213216	79.4117647058823
PGA_scaffold10__49_contigs__length_53961475	1163001	1164000	*	0.000214620116248557	0.00634973616278763	60.8974358974359
PGA_scaffold10__49_contigs__length_53961475	1339001	1340000	*	8.77529467057651e-09	2.01135265051333e-06	66.2650602409639
PGA_scaffold10__49_contigs__length_53961475	2400001	2401000	*	3.32058093166121e-05	0.00160456791022825	100
PGA_scaffold10__49_contigs__length_53961475	6831001	6832000	*	0.000137599094835115	0.00459604096551351	57.6923076923077
PGA_scaffold10__49_contigs__length_53961475	6888001	6889000	*	0.000106825588971562	0.00380972170087288	100
PGA_scaffold10__49_contigs__length_53961475	7862001	7863000	*	0.00013078894655968	0.0044286122152546	80
PGA_scaffold10__49_contigs__length_53961475	8281001	8282000	*	6.17474951910693e-05	0.00254718419257685	100
PGA_scaffold10__49_contigs__length_53961475	8950001	8951000	*	5.73638948109402e-05	0.00241212724280882	71.4285714285714
PGA_scaffold10__49_contigs__length_53961475	9113001	9114000	*	5.31303259019293e-08	9.16834697148699e-06	85.7142857142857
PGA_scaffold10__49_contigs__length_53961475	9675001	9676000	*	7.6837816903196e-07	8.51340972933352e-05	53.7777777777778
PGA_scaffold10__49_contigs__length_53961475	9708001	9709000	*	5.36670493300342e-07	6.39923769847445e-05	100
PGA_scaffold10__49_contigs__length_53961475	10065001	10066000	*	0.000239066990956908	0.00683153071978379	100
PGA_scaffold10__49_contigs__length_53961475	10182001	10183000	*	5.87359541665641e-07	6.87733695233069e-05	100
PGA_scaffold10__49_contigs__length_53961475	10235001	10236000	*	9.57567839604386e-07	0.000101598842533466	54.9019607843137
PGA_scaffold10__49_contigs__length_53961475	10989001	10990000	*	3.03649948756014e-14	2.55927024911811e-11	80.9523809523809
PGA_scaffold10__49_contigs__length_53961475	11493001	11494000	*	2.89869433294912e-05	0.00145181896781643	62.2222222222222
PGA_scaffold10__49_contigs__length_53961475	11816001	11817000	*	7.69156714063794e-09	1.79550763672023e-06	72.5
PGA_scaffold10__49_contigs__length_53961475	12576001	12577000	*	7.17417698335943e-06	0.000498783215402205	74.0740740740741
PGA_scaffold10__49_contigs__length_53961475	14698001	14699000	*	4.26074779951319e-05	0.00193985307471992	100
PGA_scaffold10__49_contigs__length_53961475	16105001	16106000	*	2.62102274376611e-07	3.54499497626216e-05	63.7837837837838
PGA_scaffold10__49_contigs__length_53961475	17293001	17294000	*	0.000146194385777041	0.0047885849320964	100
PGA_scaffold10__49_contigs__length_53961475	17382001	17383000	*	0.00024367344991123	0.00691463158436959	100
PGA_scaffold10__49_contigs__length_53961475	17718001	17719000	*	0.000176392175241588	0.0055105792302947	53.3333333333333
PGA_scaffold10__49_contigs__length_53961475	18573001	18574000	*	5.86418321093846e-05	0.0024534090167173	57.8947368421053
PGA_scaffold10__49_contigs__length_53961475	19069001	19070000	*	5.06890925945177e-06	0.000379076424973305	54.9860205032619
PGA_scaffold10__49_contigs__length_53961475	19616001	19617000	*	5.18149843821246e-08	8.9768360543582e-06	100
PGA_scaffold10__49_contigs__length_53961475	21435001	21436000	*	4.46470190993191e-07	5.47171103400343e-05	63.8888888888889
PGA_scaffold10__49_contigs__length_53961475	21649001	21650000	*	3.16278044252468e-06	0.000261029286922851	69.392523364486
PGA_scaffold10__49_contigs__length_53961475	22000001	22001000	*	3.74791254975166e-06	0.000298600085966631	78.2608695652174
PGA_scaffold10__49_contigs__length_53961475	22995001	22996000	*	2.27401542492544e-05	0.00120170962632899	100
PGA_scaffold10__49_contigs__length_53961475	23510001	23511000	*	7.07309072776962e-09	1.67390567837693e-06	70
PGA_scaffold10__49_contigs__length_53961475	23563001	23564000	*	0.000126088132943877	0.00431567415682774	87.5
PGA_scaffold10__49_contigs__length_53961475	24439001	24440000	*	0.000144027586815987	0.00474608750929765	88.8888888888889
PGA_scaffold10__49_contigs__length_53961475	24560001	24561000	*	3.9009064089403e-07	4.89438305528568e-05	89.6551724137931
PGA_scaffold10__49_contigs__length_53961475	24781001	24782000	*	0.000224322413407856	0.00654330043300153	89.4736842105263
PGA_scaffold10__49_contigs__length_53961475	24937001	24938000	*	5.35753514391304e-05	0.00229153094007543	52.53227408143
PGA_scaffold10__49_contigs__length_53961475	25853001	25854000	*	0.000242622527592247	0.00690765867264019	58.3333333333333
PGA_scaffold10__49_contigs__length_53961475	25918001	25919000	*	2.22577275335493e-06	0.000197871512296017	63.1578947368421
PGA_scaffold10__49_contigs__length_53961475	27023001	27024000	*	6.93759438901534e-07	7.83369435572407e-05	61.8181818181818
PGA_scaffold10__49_contigs__length_53961475	27554001	27555000	*	9.67229936762299e-07	0.000102441157191264	60.7142857142857
PGA_scaffold10__49_contigs__length_53961475	27937001	27938000	*	4.4587713237706e-06	0.000342570815533249	53.5809018567639
PGA_scaffold10__49_contigs__length_53961475	28333001	28334000	*	1.36281743846425e-12	8.44799739467378e-10	72.0125786163522
PGA_scaffold10__49_contigs__length_53961475	28986001	28987000	*	3.4472249376633e-07	4.44830316730806e-05	91.6666666666667
PGA_scaffold10__49_contigs__length_53961475	30298001	30299000	*	1.8285183951608e-12	1.10636040081279e-09	69.1935483870968
PGA_scaffold10__49_contigs__length_53961475	30342001	30343000	*	0.000370785441302577	0.00934288244285544	58.3333333333333
PGA_scaffold10__49_contigs__length_53961475	30489001	30490000	*	0.000174588510414212	0.00546952574541148	58.6206896551724
PGA_scaffold10__49_contigs__length_53961475	30587001	30588000	*	2.82152591245361e-06	0.000238561636530577	61.4035087719298
PGA_scaffold10__49_contigs__length_53961475	30646001	30647000	*	0.000141405934244908	0.00468443838144525	88.2352941176471
PGA_scaffold10__49_contigs__length_53961475	31165001	31166000	*	2.48154601795273e-06	0.000215414170246487	100
PGA_scaffold10__49_contigs__length_53961475	31318001	31319000	*	4.67839297142597e-05	0.00207628317690013	100
PGA_scaffold10__49_contigs__length_53961475	31794001	31795000	*	0.000254282326781092	0.00713830175771186	62.3529411764706
PGA_scaffold10__49_contigs__length_53961475	32582001	32583000	*	1.26095268941402e-08	2.72958191927767e-06	79.2452830188679
PGA_scaffold10__49_contigs__length_53961475	32897001	32898000	*	1.81390238542384e-06	0.000168881470541986	57.3657927590512
PGA_scaffold10__49_contigs__length_53961475	33072001	33073000	*	0.000232794390712876	0.00672387630981922	71.4285714285714
PGA_scaffold10__49_contigs__length_53961475	33100001	33101000	*	3.74147421521415e-06	0.000298214881371677	53.3333333333333
PGA_scaffold10__49_contigs__length_53961475	33228001	33229000	*	4.48820351431136e-09	1.13964398076396e-06	90.9090909090909
PGA_scaffold10__49_contigs__length_53961475	33419001	33420000	*	9.28725311564636e-05	0.00344244157810536	100
PGA_scaffold10__49_contigs__length_53961475	33498001	33499000	*	0.000106825588974892	0.00380972170087288	100
PGA_scaffold10__49_contigs__length_53961475	34217001	34218000	*	6.44687281656963e-05	0.00263231616128039	95.7446808510638
PGA_scaffold10__49_contigs__length_53961475	34862001	34863000	*	0.000138515083098119	0.004614125169246	77.7777777777778
