chr	start	end	number_of_dms	hypermethylated_samples	hypomethylated_samples	methylation_level_EPI.41	methylation_level_EPI.42	methylation_level_EPI.43	methylation_level_EPI.44	methylation_level_EPI.119	methylation_level_EPI.120	methylation_level_EPI.135	methylation_level_EPI.136	methylation_level_EPI.151	methylation_level_EPI.152	methylation_level_EPI.153	methylation_level_EPI.154	methylation_level_EPI.181	methylation_level_EPI.182	methylation_level_EPI.184	methylation_level_EPI.185
PGA_scaffold10__49_contigs__length_53961475	11112810	11112940	6	EPI-41,EPI-42,EPI-151,EPI-152	EPI-120,EPI-181,EPI-119,EPI-136,EPI-184	0.54	0.536082474226804	0.394366197183099	0.55	0.138888888888889	0.229508196721311	0.278688524590164	0.166666666666667	0.660714285714286	0.552631578947368	0.393939393939394	0.391304347826087	0.351351351351351	0.26984126984127	0	NA
PGA_scaffold10__49_contigs__length_53961475	18556589	18556610	6	EPI-43,EPI-135,EPI-44,EPI-119	EPI-182	0.708333333333333	0.460526315789474	0.8	0.807692307692308	0.644444444444444	0.576271186440678	0.759259259259259	0.612244897959184	0.470588235294118	0.459016393442623	0.675675675675676	0.657142857142857	0.488372093023256	0.218181818181818	0.730769230769231	NA
PGA_scaffold10__49_contigs__length_53961475	19149223	19149262	3	EPI-42,EPI-185,EPI-182,EPI-184	EPI-119,EPI-151	0	0.177777777777778	0	NA	0	0.133333333333333	0.142857142857143	0	0	0	0.0909090909090909	0.0303030303030303	0	0.130434782608696	0.147058823529412	0.235294117647059
PGA_scaffold10__49_contigs__length_53961475	23948376	23948381	3	EPI-42,EPI-44	EPI-136,EPI-151,EPI-181	0.896551724137931	0.977272727272727	NA	1	0.861111111111111	NA	0.75	0.571428571428571	0.6	0.736842105263158	0.941176470588235	0.851851851851852	0.452380952380952	0.888888888888889	0.888888888888889	NA
PGA_scaffold11__79_contigs__length_51449921	33245946	33246014	6	EPI-42,EPI-136,EPI-41	EPI-152,EPI-181	1	0.954545454545455	0.894736842105263	NA	0.8	0.785714285714286	0.75	1	0.8	0.418604651162791	0.958333333333333	NA	0.608695652173913	0.833333333333333	0.833333333333333	NA
PGA_scaffold11__79_contigs__length_51449921	34242236	34242266	4	EPI-42,EPI-135,EPI-44	EPI-151,EPI-152,EPI-153,EPI-154,EPI-181	0.666666666666667	0.928571428571429	NA	0.84	0.655172413793103	0.724137931034483	1	0.8	0.2	0.346153846153846	0.477272727272727	0.3	0.4375	0.686567164179104	0.916666666666667	NA
PGA_scaffold11__79_contigs__length_51449921	34247796	34247825	6	EPI-43,EPI-120,EPI-135	EPI-152,EPI-181	0.846153846153846	0.673913043478261	0.958333333333333	0.875	0.892857142857143	0.910714285714286	0.882352941176471	0.8	NA	0.432432432432432	0.8	0.695652173913043	0.520833333333333	0.833333333333333	1	NA
PGA_scaffold11__79_contigs__length_51449921	36477247	36477284	3	EPI-41,EPI-42	EPI-120,EPI-153,EPI-181	1	0.933333333333333	0.6	NA	0.9	0.15	0.708333333333333	0.565217391304348	0.857142857142857	1	0.523809523809524	0.928571428571429	0.523809523809524	0.730769230769231	0.88	0.6
PGA_scaffold11__79_contigs__length_51449921	46672468	46672516	4	EPI-41,EPI-44,EPI-120	EPI-152,EPI-184,EPI-153,EPI-181	0.692307692307692	0.416666666666667	NA	0.833333333333333	0.2	1	0.4375	0.444444444444444	0.133333333333333	0.0740740740740741	0.0555555555555556	0.15	0	0.1875	0	NA
PGA_scaffold12__71_contigs__length_50438331	7000227	7000253	3	EPI-151,EPI-152,EPI-154	EPI-135,EPI-181	NA	0.892857142857143	0.9	0.666666666666667	0.676470588235294	0.7	0.482758620689655	NA	1	0.967741935483871	0.764705882352941	1	0.6	0.8	0.909090909090909	0.8
