chr	start	end	strand	pvalue	qvalue	meth.diff
PGA_scaffold10__49_contigs__length_53961475	1705001	1706000	*	1.49090535250755e-05	0.000980088217075231	-61.1111111111111
PGA_scaffold10__49_contigs__length_53961475	2331001	2332000	*	0.00014402758681682	0.0053221122954591	-85.7142857142857
PGA_scaffold10__49_contigs__length_53961475	2462001	2463000	*	9.14686105794518e-05	0.00383824966918192	-63.4615384615385
PGA_scaffold10__49_contigs__length_53961475	3360001	3361000	*	0.000108980858562907	0.00433984579237888	-60
PGA_scaffold10__49_contigs__length_53961475	6374001	6375000	*	9.46592108992785e-05	0.00392000472777908	-57.6023391812865
PGA_scaffold10__49_contigs__length_53961475	6820001	6821000	*	0.000146194385760076	0.00537069294121683	-100
PGA_scaffold10__49_contigs__length_53961475	6828001	6829000	*	1.64930216454964e-05	0.00105964978992093	-89.4736842105263
PGA_scaffold10__49_contigs__length_53961475	7066001	7067000	*	6.88590416487012e-17	9.08296520943843e-14	-56
PGA_scaffold10__49_contigs__length_53961475	7850001	7851000	*	2.6668253869129e-06	0.000257858099068135	-66.6666666666667
PGA_scaffold10__49_contigs__length_53961475	8002001	8003000	*	6.09953601429858e-05	0.00283582797522942	-52.5925925925926
PGA_scaffold10__49_contigs__length_53961475	8342001	8343000	*	7.67262347109236e-05	0.0033659108854124	-56.6666666666667
PGA_scaffold10__49_contigs__length_53961475	8434001	8435000	*	3.18339764849928e-05	0.00173795700432455	-54.2245989304813
PGA_scaffold10__49_contigs__length_53961475	8903001	8904000	*	2.15477389159922e-06	0.000218087657511752	-60.7843137254902
PGA_scaffold10__49_contigs__length_53961475	9801001	9802000	*	9.24269614272651e-07	0.000111026955609141	-52.4410774410774
PGA_scaffold10__49_contigs__length_53961475	9852001	9853000	*	1.30697881854949e-13	1.03439515167128e-10	-70.8612440191388
PGA_scaffold10__49_contigs__length_53961475	10489001	10490000	*	1.81577643808067e-06	0.000190527603595163	-71.4285714285714
PGA_scaffold10__49_contigs__length_53961475	12395001	12396000	*	9.15177333701226e-05	0.00383864279316464	-80
PGA_scaffold10__49_contigs__length_53961475	13493001	13494000	*	7.83237124632898e-05	0.00342199009704594	-52.8571428571428
PGA_scaffold10__49_contigs__length_53961475	13758001	13759000	*	2.10130383925883e-05	0.00127173609712242	-52.9411764705882
PGA_scaffold10__49_contigs__length_53961475	14077001	14078000	*	0.000215749852704528	0.00715331039064673	-83.3333333333333
PGA_scaffold10__49_contigs__length_53961475	17098001	17099000	*	2.8909570355359e-06	0.000274310414731271	-75
PGA_scaffold10__49_contigs__length_53961475	17564001	17565000	*	6.11359617278081e-05	0.00284045011037399	-66.6666666666667
PGA_scaffold10__49_contigs__length_53961475	18380001	18381000	*	4.20286989075657e-06	0.00036848282075219	-100
PGA_scaffold10__49_contigs__length_53961475	19029001	19030000	*	9.28725311457754e-05	0.00387011054849788	-100
PGA_scaffold10__49_contigs__length_53961475	19100001	19101000	*	3.029612868924e-09	8.8751906608143e-07	-100
PGA_scaffold10__49_contigs__length_53961475	19442001	19443000	*	0.000127114304006328	0.00486931925311583	-67.5324675324675
PGA_scaffold10__49_contigs__length_53961475	19708001	19709000	*	2.62206350145012e-06	0.000254363806849808	-59.2592592592593
PGA_scaffold10__49_contigs__length_53961475	20187001	20188000	*	6.66591472347175e-05	0.0030321309802051	-61.6959064327485
PGA_scaffold10__49_contigs__length_53961475	20272001	20273000	*	0.000254349056845445	0.0079779899555564	-87.5
PGA_scaffold10__49_contigs__length_53961475	21537001	21538000	*	8.83423409230831e-06	0.000657981408481632	-78.5714285714286
PGA_scaffold10__49_contigs__length_53961475	22182001	22183000	*	0.000106825588982819	0.00427817411239745	-100
PGA_scaffold10__49_contigs__length_53961475	22988001	22989000	*	1.84004202588031e-07	2.93955130354567e-05	-57.7114427860696
PGA_scaffold10__49_contigs__length_53961475	23298001	23299000	*	2.07984738354106e-06	0.00021223953339246	-77.7777777777778
PGA_scaffold10__49_contigs__length_53961475	23538001	23539000	*	2.48154601764629e-06	0.000243157423497274	-100
PGA_scaffold10__49_contigs__length_53961475	23810001	23811000	*	5.6521723979549e-07	7.45762862231398e-05	-65.2173913043478
PGA_scaffold10__49_contigs__length_53961475	24012001	24013000	*	8.04538482453248e-05	0.00348916402744032	-73.5294117647059
PGA_scaffold10__49_contigs__length_53961475	24043001	24044000	*	5.29445715573508e-06	0.000441002268528005	-100
PGA_scaffold10__49_contigs__length_53961475	24543001	24544000	*	0.00033884380488456	0.00975819881845811	-83.3333333333333
PGA_scaffold10__49_contigs__length_53961475	24721001	24722000	*	0.000166226000644724	0.00591118958963426	-51.9181585677749
PGA_scaffold10__49_contigs__length_53961475	25366001	25367000	*	0.000191047539277706	0.00653325233766964	-75
PGA_scaffold10__49_contigs__length_53961475	25679001	25680000	*	2.45310275601437e-06	0.000241153499341317	-56.4347826086957
PGA_scaffold10__49_contigs__length_53961475	26076001	26077000	*	1.29996594240313e-07	2.18142293337682e-05	-52.0149253731343
PGA_scaffold10__49_contigs__length_53961475	26291001	26292000	*	0.000330173453796399	0.00957878651521245	-100
PGA_scaffold10__49_contigs__length_53961475	26855001	26856000	*	0.000191094031806578	0.00653325233766964	-66.6666666666667
PGA_scaffold10__49_contigs__length_53961475	26924001	26925000	*	8.50546094098806e-05	0.00362999661572673	-100
PGA_scaffold10__49_contigs__length_53961475	28338001	28339000	*	0.000124546519222034	0.00479530750851257	-80
PGA_scaffold10__49_contigs__length_53961475	28472001	28473000	*	0.000224907726891389	0.00735989800519338	-54.8701298701299
PGA_scaffold10__49_contigs__length_53961475	28711001	28712000	*	1.62216584066172e-63	2.61048834853139e-59	-87.4571726500819
PGA_scaffold10__49_contigs__length_53961475	29162001	29163000	*	6.11988815939941e-06	0.000493647425685463	-100
