chr	start	end	strand	pvalue	qvalue	meth.diff
PGA_scaffold10__49_contigs__length_53961475	353001	354000	*	8.2968821481003e-05	0.00357287918251366	55.0925925925926
PGA_scaffold10__49_contigs__length_53961475	563001	564000	*	1.22660061127709e-05	0.000842475723983631	100
PGA_scaffold10__49_contigs__length_53961475	919001	920000	*	2.25654005615097e-06	0.000225924642184806	57.5757575757576
PGA_scaffold10__49_contigs__length_53961475	1122001	1123000	*	0.000343197530924404	0.0098465756532452	51.5669515669516
PGA_scaffold10__49_contigs__length_53961475	1189001	1190000	*	0.000239066990930743	0.00764840891685432	100
PGA_scaffold10__49_contigs__length_53961475	2470001	2471000	*	3.70833891278345e-05	0.00195448214223883	53.1772575250836
PGA_scaffold10__49_contigs__length_53961475	2634001	2635000	*	1.85767501962757e-11	9.74831772919969e-09	56.4705882352941
PGA_scaffold10__49_contigs__length_53961475	3389001	3390000	*	1.93748769777264e-05	0.00119640293396475	64.7058823529412
PGA_scaffold10__49_contigs__length_53961475	5687001	5688000	*	4.84297262545602e-06	0.000411996864066555	64.6616541353383
PGA_scaffold10__49_contigs__length_53961475	6450001	6451000	*	0.000178458550161441	0.00621436235017522	100
PGA_scaffold10__49_contigs__length_53961475	6543001	6544000	*	0.000124713207230036	0.00479942870238676	54.5454545454545
PGA_scaffold10__49_contigs__length_53961475	6888001	6889000	*	0.000239066990930743	0.00764840891685432	100
PGA_scaffold10__49_contigs__length_53961475	7520001	7521000	*	1.17367693353955e-05	0.000815758396833147	72.7272727272727
PGA_scaffold10__49_contigs__length_53961475	7862001	7863000	*	0.000245538082951943	0.00777926656892099	76.1904761904762
PGA_scaffold10__49_contigs__length_53961475	7947001	7948000	*	6.59039293131839e-06	0.000522274925939601	54.1666666666667
PGA_scaffold10__49_contigs__length_53961475	8261001	8262000	*	0.000230459847340672	0.00748073830616666	66.6666666666667
PGA_scaffold10__49_contigs__length_53961475	8281001	8282000	*	6.17474951910693e-05	0.00285758744205902	100
PGA_scaffold10__49_contigs__length_53961475	8950001	8951000	*	9.22066567733789e-05	0.00385882244888265	62.5
PGA_scaffold10__49_contigs__length_53961475	10096001	10097000	*	0.000132788517179699	0.00502645583099591	51.1904761904762
