DMR.ID,term,df,Deviance,Resid..Df,Resid..Dev,p.value,p.adj
chrScaffold_01_10580352_10580372,TimePoint,3,87.5431037012989,12,129.2837470189,7.38220644854089e-19,1.11004501376957e-18
chrScaffold_01_10800794_10800859,TimePoint,3,20.8306657348105,7,29.6259011626979,0.000114153820946732,0.000115662046491858
chrScaffold_01_11431100_11431154,TimePoint,3,145.545698049816,12,166.254092403352,2.40739153293815e-31,6.50632028835926e-31
chrScaffold_01_11985384_11985404,TimePoint,3,32.3666638866473,4,75.1669864297144,4.38028453719189e-07,4.56248652558103e-07
chrScaffold_01_12080513_12080539,TimePoint,3,63.2122229434163,11,107.839925947392,1.20974862172465e-13,1.46966490975855e-13
chrScaffold_01_12227302_12227369,TimePoint,3,134.051462664685,12,136.997823546524,7.24227213933421e-29,1.74582866698685e-28
chrScaffold_01_12949065_12949121,TimePoint,3,150.601051222294,9,87.0051720825396,1.95482038769407e-32,5.48870621441791e-32
chrScaffold_01_13623950_13623966,TimePoint,2,104.340097656026,7,67.8433762503631,2.20209308612128e-23,4.16970403807225e-23
chrScaffold_01_15035451_15035669,TimePoint,3,81.8211521376728,12,102.367192775445,1.24838695123373e-17,1.80208328136917e-17
chrScaffold_01_15047761_15047863,TimePoint,3,53.4080199685985,12,88.144686764986,1.50056143682086e-11,1.71752694307761e-11
chrScaffold_01_16036176_16036195,TimePoint,3,9.41862591179512,12,188.961846187704,0.0242129888392565,0.0243319715853954
chrScaffold_01_16421095_16421186,TimePoint,3,79.2711893254652,12,49.0453921486325,4.39902267020275e-17,6.18990919304905e-17
chrScaffold_01_191265_191290,TimePoint,3,79.4082417546789,11,104.972322993799,4.11113397522885e-17,5.79811653747794e-17
chrScaffold_01_20163182_20163192,TimePoint,3,55.8771246933171,10,208.155716562546,4.46238761162137e-12,5.18499015100324e-12
chrScaffold_01_21151190_21151357,TimePoint,3,9.28794324281859,12,171.682384018461,0.0256976592366794,0.0258028051419031
chrScaffold_01_21274122_21274330,TimePoint,3,122.864052258816,7,6.66033053613487,1.86446871100502e-26,4.09249214383392e-26
chrScaffold_01_21613812_21614023,TimePoint,3,560.139301602589,7,85.053771800999,4.4071462230615e-121,1.15054647142478e-119
chrScaffold_01_22774879_22774889,TimePoint,3,62.0631372711058,10,111.467210059296,2.12987319100964e-13,2.56462650183398e-13
chrScaffold_01_22776117_22776192,TimePoint,3,42.7958932876587,11,73.9226905645322,2.71922464639091e-09,2.9370498601423e-09
chrScaffold_01_24307056_24307127,TimePoint,2,257.64843791829,4,20.3089851695136,1.12811291331349e-56,7.28523444545081e-56
chrScaffold_01_25888698_25888722,TimePoint,3,129.285025031642,10,139.986028683306,7.71167574606453e-28,1.77195246075303e-27
chrScaffold_01_26184885_26185086,TimePoint,3,22.0970696790199,8,48.1090086329325,6.22666750241225e-05,6.33509206091197e-05
chrScaffold_01_27267716_27267797,TimePoint,3,128.963068437272,9,180.513515875366,9.04747748979577e-28,2.0711296417872e-27
chrScaffold_01_27941634_27941729,TimePoint,3,73.8790265652917,11,81.6799229482057,6.29995379250119e-16,8.34777894535525e-16
chrScaffold_01_29033671_29033715,TimePoint,3,189.427842463659,9,69.6741305617984,8.11340952737943e-41,3.21133983551437e-40
chrScaffold_01_29847337_29847362,TimePoint,3,57.2883069682219,11,151.222502593911,2.23031864708361e-12,2.60877119158397e-12
chrScaffold_01_29882324_29882439,TimePoint,3,117.18262513835,8,168.864556155896,3.11995087807278e-25,6.45561505462951e-25
chrScaffold_01_30342569_30343287,TimePoint,3,207.648796870542,11,369.34991144511,9.38248819650157e-45,4.41084789927488e-44
chrScaffold_01_30763765_30763793,TimePoint,3,130.338064938302,12,217.233573316174,4.57318783820139e-28,1.0607375193711e-27
chrScaffold_01_3343137_3343145,TimePoint,3,73.4217848910483,8,105.361025655505,7.89429256686959e-16,1.03707676440567e-15
chrScaffold_01_34096891_34096915,TimePoint,2,61.3646167085467,4,28.8091437570166,4.72980013873223e-14,5.81509496014473e-14
chrScaffold_01_34112438_34112502,TimePoint,3,211.011936838786,11,119.118652595865,1.75985707217822e-45,8.46801814730463e-45
chrScaffold_01_34971118_34971133,TimePoint,3,108.172321879582,7,98.4161599850948,2.71417276281508e-23,5.09998465539679e-23
chrScaffold_01_36272403_36272449,TimePoint,3,239.13528623558,11,317.272221258368,1.46385857302891e-51,8.43265008970177e-51
