chr	start	end	strand	pvalue	qvalue	meth.diff
PGA_scaffold10840__1_contigs__length_10446	1001	2000	*	4.96029900682415e-08	3.88436480665674e-06	-100
PGA_scaffold10985__1_contigs__length_20040	14001	15000	*	1.31723063806456e-05	0.000484352737103004	-54.5542635658915
PGA_scaffold10__49_contigs__length_53961475	1468001	1469000	*	9.75057275474428e-08	7.06638973971037e-06	-56.25
PGA_scaffold10__49_contigs__length_53961475	1534001	1535000	*	1.78302049254716e-07	1.19994056529181e-05	-54.4520547945205
PGA_scaffold10__49_contigs__length_53961475	1874001	1875000	*	6.69743601719371e-07	3.8013025924945e-05	-55.779427359491
PGA_scaffold10__49_contigs__length_53961475	2635001	2636000	*	2.6980454819497e-13	5.96106031930141e-11	-81.8181818181818
PGA_scaffold10__49_contigs__length_53961475	2636001	2637000	*	1.11127444506579e-11	1.87916784442434e-09	-53.5135135135135
PGA_scaffold10__49_contigs__length_53961475	2731001	2732000	*	1.52659648011122e-14	4.03781749966836e-12	-99.0476190476191
PGA_scaffold10__49_contigs__length_53961475	2737001	2738000	*	0.000235952405029157	0.00511236061516005	-62.5
PGA_scaffold10__49_contigs__length_53961475	2741001	2742000	*	2.35825383420617e-41	5.44051642454497e-38	-50.9574087329993
PGA_scaffold10__49_contigs__length_53961475	6958001	6959000	*	5.01000006576449e-10	6.21917502653068e-08	-52.0962732919255
PGA_scaffold10__49_contigs__length_53961475	7740001	7741000	*	1.73401588014297e-09	1.9162951631581e-07	-56.668835393624
PGA_scaffold10__49_contigs__length_53961475	9311001	9312000	*	4.12949051892497e-20	2.07797006555365e-17	-53.4153005464481
PGA_scaffold10__49_contigs__length_53961475	9998001	9999000	*	2.31184411503952e-05	0.000773895050794756	-60.9375
PGA_scaffold10__49_contigs__length_53961475	11742001	11743000	*	1.51284503892801e-22	9.49119773837873e-20	-51.5384615384615
PGA_scaffold10__49_contigs__length_53961475	12059001	12060000	*	1.50744123364081e-06	7.63180917701061e-05	-54.3172690763052
PGA_scaffold10__49_contigs__length_53961475	14390001	14391000	*	4.42004963074919e-08	3.50824082206326e-06	-60.7843137254902
PGA_scaffold10__49_contigs__length_53961475	15704001	15705000	*	4.59866065060345e-07	2.73756701990341e-05	-57.7380952380952
PGA_scaffold10__49_contigs__length_53961475	17209001	17210000	*	0.00013041205527269	0.00318091070077283	-65.8620689655172
PGA_scaffold10__49_contigs__length_53961475	17305001	17306000	*	5.92415947179485e-11	8.75917793777334e-09	-51.9392372333549
PGA_scaffold10__49_contigs__length_53961475	17651001	17652000	*	0.00015022840684216	0.0035673314222794	-54.1666666666667
PGA_scaffold10__49_contigs__length_53961475	17793001	17794000	*	0.000232250622990981	0.00504944946271468	-56.3636363636364
PGA_scaffold10__49_contigs__length_53961475	18375001	18376000	*	5.14357698618182e-41	1.17420319552074e-37	-54.8381830796229
PGA_scaffold10__49_contigs__length_53961475	18376001	18377000	*	4.41634709636665e-81	4.87503214704734e-77	-67.5611260361895
PGA_scaffold10__49_contigs__length_53961475	18377001	18378000	*	9.08884464618443e-76	8.61513781531751e-72	-65.256703388069
PGA_scaffold10__49_contigs__length_53961475	18378001	18379000	*	3.84532719877982e-43	9.95049705048239e-40	-68.3155080213904
PGA_scaffold10__49_contigs__length_53961475	18806001	18807000	*	3.14355505637947e-34	4.72644331622338e-31	-59.6390386980793
PGA_scaffold10__49_contigs__length_53961475	18839001	18840000	*	1.00114703902244e-17	3.90976379379457e-15	-51.4880952380952
PGA_scaffold10__49_contigs__length_53961475	18887001	18888000	*	3.73129690376234e-15	1.07495123539683e-12	-50.6575185820469
PGA_scaffold10__49_contigs__length_53961475	18893001	18894000	*	2.16052681572174e-43	5.65792001802745e-40	-59.3496299618749
PGA_scaffold10__49_contigs__length_53961475	19032001	19033000	*	2.36008506992415e-05	0.000786920600118096	-53.1512605042017
PGA_scaffold10__49_contigs__length_53961475	19435001	19436000	*	1.15173008084696e-20	6.11300178779862e-18	-57.5443037974684
PGA_scaffold10__49_contigs__length_53961475	21488001	21489000	*	1.85609826272661e-10	2.50869567965562e-08	-57.3631047315258
PGA_scaffold10__49_contigs__length_53961475	23562001	23563000	*	4.61866893025902e-11	6.96353759911123e-09	-78.3333333333333
PGA_scaffold10__49_contigs__length_53961475	24197001	24198000	*	4.06452614909693e-11	6.20856532879373e-09	-54.0953090096798
PGA_scaffold10__49_contigs__length_53961475	24378001	24379000	*	0.000127434039824625	0.00312203545033401	-51.6835016835017
PGA_scaffold10__49_contigs__length_53961475	24838001	24839000	*	2.56059233706739e-08	2.15329266712679e-06	-50.9316770186335
PGA_scaffold10__49_contigs__length_53961475	26478001	26479000	*	3.12939451239111e-06	0.000143148784164424	-57.0291777188329
PGA_scaffold10__49_contigs__length_53961475	29456001	29457000	*	2.04999744113332e-05	0.000700043163694336	-53.3918128654971
PGA_scaffold10__49_contigs__length_53961475	30178001	30179000	*	0.000409022761770768	0.00791792726353009	-58.0645161290323
PGA_scaffold10__49_contigs__length_53961475	30262001	30263000	*	7.61078326594976e-12	1.32184492995784e-09	-63.8530287984111
PGA_scaffold10__49_contigs__length_53961475	31682001	31683000	*	2.39028613024264e-06	0.000113613696873125	-51.4285714285714
PGA_scaffold10__49_contigs__length_53961475	33107001	33108000	*	1.11779454169074e-06	5.90306248107374e-05	-56.4759036144578
PGA_scaffold10__49_contigs__length_53961475	34849001	34850000	*	4.13694315320732e-08	3.30913703281951e-06	-75
PGA_scaffold10__49_contigs__length_53961475	35673001	35674000	*	0.000121887763613221	0.00301478349821399	-59.5317725752508
PGA_scaffold10__49_contigs__length_53961475	35829001	35830000	*	6.35734909555444e-05	0.00177832434654273	-69.0476190476191
PGA_scaffold10__49_contigs__length_53961475	35923001	35924000	*	3.21844712742243e-06	0.000146568841842895	-75
PGA_scaffold10__49_contigs__length_53961475	36230001	36231000	*	0.00041407867494824	0.00799683977684392	-63.3484162895928
PGA_scaffold10__49_contigs__length_53961475	36252001	36253000	*	1.480080359598e-08	1.31699854076147e-06	-66.6666666666667
PGA_scaffold10__49_contigs__length_53961475	36873001	36874000	*	2.13741312226118e-07	1.40387969427416e-05	-55.0510204081633
PGA_scaffold10__49_contigs__length_53961475	36921001	36922000	*	2.33610632616136e-05	0.000780626690629171	-56.2962962962963
PGA_scaffold10__49_contigs__length_53961475	37833001	37834000	*	5.17333037777359e-05	0.00150175102610649	-53.8706256627784
PGA_scaffold10__49_contigs__length_53961475	37848001	37849000	*	0.000257997936016511	0.00548735628133752	-92.3076923076923
PGA_scaffold10__49_contigs__length_53961475	38694001	38695000	*	2.28829760036691e-06	0.000109384962789658	-59.8190045248869
PGA_scaffold10__49_contigs__length_53961475	38906001	38907000	*	1.10351890107174e-06	5.83757133992296e-05	-100
PGA_scaffold10__49_contigs__length_53961475	39502001	39503000	*	4.3683101010921e-06	0.000190145988589831	-51.5789473684211
PGA_scaffold10__49_contigs__length_53961475	39978001	39979000	*	0.000478362698744582	0.00895973242072039	-57.1428571428571
PGA_scaffold10__49_contigs__length_53961475	41546001	41547000	*	2.0545404980222e-10	2.75513147746331e-08	-57.0294784580499
PGA_scaffold10__49_contigs__length_53961475	43858001	43859000	*	2.90169620683899e-09	3.05828392380205e-07	-56.9082125603865
PGA_scaffold10__49_contigs__length_53961475	44354001	44355000	*	0.000105677239462841	0.00268480217155649	-64.1666666666667
PGA_scaffold10__49_contigs__length_53961475	46319001	46320000	*	4.09543165046192e-11	6.24265178823515e-09	-61.038961038961
PGA_scaffold10__49_contigs__length_53961475	46378001	46379000	*	1.30221146483666e-09	1.48133770102206e-07	-52.3627075351213
PGA_scaffold10__49_contigs__length_53961475	46386001	46387000	*	2.70377014638926e-12	5.05766780420701e-10	-64.9008885850991
PGA_scaffold10__49_contigs__length_53961475	47641001	47642000	*	4.96029900682413e-07	2.92173498729681e-05	-95.4545454545455
PGA_scaffold10__49_contigs__length_53961475	48649001	48650000	*	1.19870020466242e-48	4.12344122799915e-45	-50.3299645849529
PGA_scaffold10__49_contigs__length_53961475	50132001	50133000	*	0.000316845625770111	0.00647099982556743	-66.6666666666667
PGA_scaffold10__49_contigs__length_53961475	50773001	50774000	*	2.29640096546902e-05	0.000769600098207339	-59.2203898050975
PGA_scaffold10__49_contigs__length_53961475	50796001	50797000	*	0.000200875984965364	0.00449463484966761	-75
PGA_scaffold10__49_contigs__length_53961475	50849001	50850000	*	4.48242993068241e-11	6.77570277430656e-09	-77.3809523809524
PGA_scaffold10__49_contigs__length_53961475	50850001	50851000	*	1.14788546518901e-16	3.98017294921857e-14	-53.315117381364
PGA_scaffold10__49_contigs__length_53961475	50863001	50864000	*	1.22370562537476e-06	6.38198950951937e-05	-100
PGA_scaffold10__49_contigs__length_53961475	50912001	50913000	*	1.18427446905121e-07	8.37588424015711e-06	-70.5882352941177
PGA_scaffold10__49_contigs__length_53961475	50997001	50998000	*	1.09741310908245e-06	5.81126475349398e-05	-55.7142857142857
PGA_scaffold10__49_contigs__length_53961475	51115001	51116000	*	1.46317970998936e-05	0.000528481542634625	-51.5151515151515
PGA_scaffold10__49_contigs__length_53961475	51190001	51191000	*	2.77802387297014e-07	1.76546834448471e-05	-51.875
PGA_scaffold10__49_contigs__length_53961475	51195001	51196000	*	1.29164081901684e-11	2.15987603092978e-09	-55.307994757536
PGA_scaffold10__49_contigs__length_53961475	51779001	51780000	*	5.4830324800978e-05	0.00157461580830566	-50.2222222222222
PGA_scaffold10__49_contigs__length_53961475	51841001	51842000	*	0.000184818301118884	0.00420350518379376	-76.1904761904762
PGA_scaffold11149__1_contigs__length_11106	1	1000	*	2.43428614132905e-09	2.61077257455234e-07	-88.8888888888889
PGA_scaffold11154__1_contigs__length_24078	8001	9000	*	2.32964834734746e-06	0.000111117967195797	-66.6666666666667
PGA_scaffold115__1_contigs__length_14913	1	1000	*	1.0403566568788e-16	3.6362444954463e-14	-53.5714285714286
PGA_scaffold115__1_contigs__length_14913	1001	2000	*	2.04022553397061e-32	2.70803445309345e-29	-60.3379953379953
PGA_scaffold115__1_contigs__length_14913	4001	5000	*	3.4283452777966e-28	3.41288633589387e-25	-68.1799919646444
PGA_scaffold115__1_contigs__length_14913	7001	8000	*	3.16521383935037e-44	8.65274189549146e-41	-69.4991789819376
PGA_scaffold115__1_contigs__length_14913	8001	9000	*	2.70871115556227e-28	2.70886640881496e-25	-56.0869565217391
PGA_scaffold11__79_contigs__length_51449921	891001	892000	*	0.000159567456564119	0.00374108908170805	-64.1666666666667
PGA_scaffold11__79_contigs__length_51449921	1545001	1546000	*	3.60645465162301e-28	3.5820144716289e-25	-54.6455257882267
PGA_scaffold11__79_contigs__length_51449921	1546001	1547000	*	6.50036399228513e-40	1.37588405052227e-36	-53.973323973324
PGA_scaffold11__79_contigs__length_51449921	1550001	1551000	*	2.19314380871789e-12	4.15948458913984e-10	-69.1528384279476
PGA_scaffold11__79_contigs__length_51449921	2680001	2681000	*	1.01974238296291e-14	2.76083925632397e-12	-59.9033816425121
PGA_scaffold11__79_contigs__length_51449921	5084001	5085000	*	5.14194317363618e-07	3.01711172163356e-05	-55.7932263814617
PGA_scaffold11__79_contigs__length_51449921	5878001	5879000	*	0.00021501346101143	0.00474723064790486	-63.9676113360324
PGA_scaffold11__79_contigs__length_51449921	5898001	5899000	*	2.32343522809536e-05	0.00077692842659706	-61.2903225806452
PGA_scaffold11__79_contigs__length_51449921	6704001	6705000	*	7.4354749483978e-07	4.16047852328437e-05	-100
PGA_scaffold11__79_contigs__length_51449921	6955001	6956000	*	0.000425526741316215	0.00817265647689904	-57.1428571428571
PGA_scaffold11__79_contigs__length_51449921	7103001	7104000	*	0.000155419105856271	0.00366409566769023	-62.89592760181
PGA_scaffold11__79_contigs__length_51449921	7108001	7109000	*	7.36862158764069e-06	0.000296941141711693	-58.0594679186229
PGA_scaffold11__79_contigs__length_51449921	7903001	7904000	*	0.000241814576582677	0.00521218044944833	-61.4705882352941
PGA_scaffold11__79_contigs__length_51449921	8116001	8117000	*	0.000450782673179538	0.00855431564258815	-61.1111111111111
PGA_scaffold11__79_contigs__length_51449921	9322001	9323000	*	0.000253141214239613	0.00540409289734609	-68.75
PGA_scaffold11__79_contigs__length_51449921	9441001	9442000	*	4.09751956507545e-06	0.00018007568683898	-51.2477175897748
PGA_scaffold11__79_contigs__length_51449921	10601001	10602000	*	1.88317269267919e-16	6.36519654498836e-14	-67.0909090909091
PGA_scaffold11__79_contigs__length_51449921	14871001	14872000	*	6.32143165566155e-12	1.11351040513664e-09	-50.7235338918507
PGA_scaffold11__79_contigs__length_51449921	15548001	15549000	*	1.67819925187081e-43	4.43476855663918e-40	-73.6554117176031
PGA_scaffold11__79_contigs__length_51449921	17499001	17500000	*	8.70007393982023e-08	6.38789197900241e-06	-70.2702702702703
PGA_scaffold11__79_contigs__length_51449921	19867001	19868000	*	2.34419529618371e-07	1.52192931855235e-05	-56.8181818181818
PGA_scaffold11__79_contigs__length_51449921	20753001	20754000	*	1.15615765129898e-06	6.08051622129848e-05	-56.25
PGA_scaffold11__79_contigs__length_51449921	21328001	21329000	*	4.28164280471081e-09	4.35937714109776e-07	-53.8095238095238
PGA_scaffold11__79_contigs__length_51449921	24609001	24610000	*	0.000211089220377146	0.00467719466334989	-77.7777777777778
PGA_scaffold11__79_contigs__length_51449921	28152001	28153000	*	1.35398689355915e-07	9.41957912385307e-06	-51.5909090909091
PGA_scaffold11__79_contigs__length_51449921	28156001	28157000	*	0.000440288054874629	0.00839827450433787	-51.7786561264822
PGA_scaffold11__79_contigs__length_51449921	29564001	29565000	*	0.000270120091392639	0.00569531480275578	-58.2167832167832
PGA_scaffold11__79_contigs__length_51449921	30370001	30371000	*	9.17371448704772e-06	0.000356773738264389	-54.3790849673203
PGA_scaffold11__79_contigs__length_51449921	30390001	30391000	*	3.34414836112963e-05	0.0010489056996341	-56.9672131147541
PGA_scaffold11__79_contigs__length_51449921	30666001	30667000	*	4.43767049731763e-05	0.0013236209144358	-80
PGA_scaffold11__79_contigs__length_51449921	30679001	30680000	*	2.97148190586701e-07	1.87461530491311e-05	-50.5067567567568
PGA_scaffold11__79_contigs__length_51449921	30692001	30693000	*	2.23363049091275e-11	3.57795265333691e-09	-50.0554323725055
PGA_scaffold11__79_contigs__length_51449921	30713001	30714000	*	2.69760379891393e-09	2.86673816517896e-07	-50.3219696969697
PGA_scaffold11__79_contigs__length_51449921	30714001	30715000	*	1.00624516495343e-16	3.52549648762335e-14	-61.0806677711227
PGA_scaffold11__79_contigs__length_51449921	30715001	30716000	*	4.7668590426961e-10	5.94442918902181e-08	-62.2556390977443
PGA_scaffold11__79_contigs__length_51449921	30716001	30717000	*	2.14049240959044e-08	1.83469270939756e-06	-74.1896758703481
