chr	start	end	number_of_dms	hypermethylated_samples	hypomethylated_samples	methylation_level_EPI.103	methylation_level_EPI.104	methylation_level_EPI.111	methylation_level_EPI.113	methylation_level_EPI.119	methylation_level_EPI.120	methylation_level_EPI.135	methylation_level_EPI.136	methylation_level_EPI.127	methylation_level_EPI.128	methylation_level_EPI.143	methylation_level_EPI.145
PGA_scaffold10__49_contigs__length_53961475	292465	292514	5	EPI-111,EPI-120,EPI-136,EPI-103		0.196969696969697	0	0.304347826086957	0	0	0.48780487804878	0	0.491228070175439	0	0.0125	0	0.0111111111111111
PGA_scaffold10__49_contigs__length_53961475	46346093	46346181	4	EPI-103,EPI-104	EPI-119,EPI-135	0.676470588235294	0.864406779661017	0.6	0.214285714285714	0.222222222222222	NA	0.121212121212121	0.371428571428571	0.175	NA	NA	0.21875
PGA_scaffold11__79_contigs__length_51449921	50444393	50444419	4	EPI-145,EPI-143	EPI-119	0.238095238095238	0.210526315789474	0	0	0	0	0.235294117647059	0.175	0.333333333333333	NA	0.333333333333333	0.583333333333333
PGA_scaffold12__71_contigs__length_50438331	11715766	11715846	6	EPI-120,EPI-136,EPI-127		0	0	0	0	0.125	0.307017543859649	0	0.302083333333333	0.188235294117647	0	0	0.00961538461538462
PGA_scaffold12__71_contigs__length_50438331	16432587	16432746	3	EPI-119,EPI-128,EPI-104		NA	0.553571428571429	0	0.0263157894736842	0.466666666666667	0	NA	0	0.142857142857143	0.454545454545455	0	0.4
PGA_scaffold12__71_contigs__length_50438331	24862842	24862850	5	EPI-104,EPI-111,EPI-113	EPI-135,EPI-119	1	1	1	1	0.545454545454545	0.894736842105263	0.588235294117647	0.9	0.7	NA	0.866666666666667	0.95
PGA_scaffold12__71_contigs__length_50438331	39565752	39565766	3	EPI-120,EPI-136,EPI-111		0.273584905660377	0.261363636363636	0.615384615384615	0.238095238095238	0.302631578947368	0.628571428571429	0.25	0.547368421052632	0.313953488372093	0.226415094339623	0.384615384615385	0.520833333333333
PGA_scaffold12__71_contigs__length_50438331	45386105	45386171	7	EPI-111,EPI-135,EPI-113		0	0	0.30952380952381	0.4	NA	0	0.363636363636364	0	0.285714285714286	0.0178571428571429	0	0.0307692307692308
PGA_scaffold13__52_contigs__length_44396874	5569690	5569699	4	EPI-113,EPI-145	EPI-135,EPI-119	1	0.833333333333333	0.714285714285714	1	0.388888888888889	NA	0.181818181818182	1	1	0.875	NA	1
PGA_scaffold13__52_contigs__length_44396874	10647610	10647622	3	EPI-104,EPI-113,EPI-145	EPI-135,EPI-120	0.8	1	0.5625	1	0.636363636363636	0.48	0.346153846153846	0.52	0.875	0.666666666666667	0.894736842105263	1
PGA_scaffold14__91_contigs__length_45393038	16996257	16996299	3	EPI-111,EPI-145	EPI-136,EPI-128	NA	0.777777777777778	0.869565217391304	NA	NA	0.588235294117647	0	0	0.375	0.0769230769230769	0	0.857142857142857
PGA_scaffold14__91_contigs__length_45393038	37010807	37010893	3	EPI-119,EPI-136	EPI-143,EPI-111	NA	0.684210526315789	0.0434782608695652	0.5	0.788461538461538	0.285714285714286	0.666666666666667	0.736842105263158	0.69811320754717	0.434782608695652	0	0.333333333333333
PGA_scaffold15__101_contigs__length_47938513	19847760	19847769	3	EPI-113,EPI-120,EPI-145	EPI-104	0.75	0.694736842105263	0.776119402985075	1	0.833333333333333	0.954545454545455	0.80952380952381	0.92	0.865384615384615	0.838709677419355	0.819444444444444	1
PGA_scaffold16__33_contigs__length_31980953	20991988	20992334	10	EPI-120,EPI-119	EPI-103,EPI-104,EPI-113,EPI-111	0	0	0.0208333333333333	0.0909090909090909	0.734042553191489	0.603053435114504	0	0.26530612244898	NA	0.377049180327869	0.426229508196721	0.269230769230769
PGA_scaffold16__33_contigs__length_31980953	26210063	26210074	3	EPI-104,EPI-127	EPI-143,EPI-145	0.2	1	0.647058823529412	0.357142857142857	0.5	0.566666666666667	0.692307692307692	0.352941176470588	0.875	0.6	0.307692307692308	0.173913043478261
PGA_scaffold17__51_contigs__length_34923512	8976100	8976131	5	EPI-120,EPI-136	EPI-113	0.948717948717949	0.916666666666667	1	0.633333333333333	0.909090909090909	0.949152542372881	1	0.981132075471698	0.944444444444444	0.931818181818182	0.952380952380952	1
PGA_scaffold18__69_contigs__length_27737463	2572863	2572869	6	EPI-128,EPI-104	EPI-135,EPI-136	0.372093023255814	1	0.6	0.34375	NA	0.428571428571429	0.305555555555556	0.285714285714286	0.695652173913043	0.942307692307692	0.5	0.342105263157895
PGA_scaffold18__69_contigs__length_27737463	18664659	18664770	6	EPI-135,EPI-143,EPI-145		0	0	0	0	0	0.027027027027027	0.507462686567164	0.0114942528735632	0.0149253731343284	0	0.289473684210526	0.333333333333333
PGA_scaffold18__69_contigs__length_27737463	19258200	19258255	5	EPI-128,EPI-127,EPI-143		0	0	0	NA	0	0	0	0	0.7	0.30379746835443	0.416666666666667	0
PGA_scaffold1__77_contigs__length_89643857	46698260	46698291	5	EPI-111,EPI-143	EPI-127,EPI-135	1	0.906666666666667	0.982456140350877	0.96551724137931	0.88135593220339	1	0.704918032786885	1	0.862745098039216	1	0.976190476190476	1
PGA_scaffold1__77_contigs__length_89643857	69390550	69390616	4	EPI-103,EPI-128	EPI-119	0.27027027027027	0	0	0	0	NA	0.1	0.05	0	0.18	NA	0.142857142857143
PGA_scaffold1__77_contigs__length_89643857	72999913	72999928	3	EPI-103,EPI-135,EPI-128	EPI-113	0.666666666666667	0	0	0	NA	0	0.666666666666667	0	NA	0.416666666666667	NA	0.0476190476190476
