DMR,p.value,FDR
PGA_scaffold1:46698260-46698291,0.99190954344694,1
PGA_scaffold1:69390550-69390616,0.44632890912446,1
PGA_scaffold1:72999913-72999928,0.00665266149436849,0.259453798280371
PGA_scaffold1:76275023-76275137,0.0490115162100399,1
PGA_scaffold1:86843354-86843513,0.888948107932265,1
PGA_scaffold10:292465-292514,0.0776386137628135,1
PGA_scaffold10:46346093-46346181,0.557976819491808,1
PGA_scaffold11:50444393-50444419,0.435087606362287,1
PGA_scaffold12:11715766-11715846,0.000135304648994753,0.00568279525777964
PGA_scaffold12:16432587-16432746,0.228070097905587,1
PGA_scaffold12:24862842-24862850,0.928052795280818,1
PGA_scaffold12:39565752-39565766,0.745670026681055,1
PGA_scaffold12:45386105-45386171,0.480496907814379,1
PGA_scaffold13:10647610-10647622,0.695527998127092,1
PGA_scaffold13:5569690-5569699,0.737436322218049,1
PGA_scaffold14:16996257-16996299,0.443105838919817,1
PGA_scaffold14:37010807-37010893,0.308036144294859,1
PGA_scaffold15:19847760-19847769,0.980229021339252,1
PGA_scaffold16:20991988-20992334,0.317032104548005,1
PGA_scaffold16:26210063-26210074,0.710940183124293,1
PGA_scaffold17:8976100-8976131,0.995258819583741,1
PGA_scaffold18:18664659-18664770,0.000572914547506872,0.0229165819002749
PGA_scaffold18:19258200-19258255,2.8098349578334e-05,0.00126442573102503
PGA_scaffold18:2572863-2572869,0.554743956655645,1
PGA_scaffold2:29935199-29935234,0.555014053683554,1
PGA_scaffold2:52925352-52925433,0.0175278558033219,0.666058520526232
PGA_scaffold2:53313178-53313319,0.721403361649075,1
PGA_scaffold2:54831881-54831895,0.919696300709176,1
PGA_scaffold3:14002810-14002876,0.205943371288298,1
PGA_scaffold3:14109942-14109954,0.0636967952603921,1
PGA_scaffold3:14698342-14698513,0.000433542989226271,0.0177752625582771
PGA_scaffold3:15572964-15573188,0.392168187018726,1
PGA_scaffold4:29642249-29642337,0.515508669135836,1
PGA_scaffold4:30067219-30067234,0.552154726079414,1
PGA_scaffold4:52672191-52672424,0.842998959948127,1
PGA_scaffold4:5826944-5826975,0.763292049236267,1
PGA_scaffold5:21524795-21524858,2.92686846807507e-05,0.00128782212595303
PGA_scaffold5:33829656-33830027,0.630345274703659,1
PGA_scaffold5:34416978-34417126,0.942736013235766,1
PGA_scaffold5:8064794-8064798,0.0374152361248536,1
PGA_scaffold7:2365289-2365367,0.91106206107157,1
PGA_scaffold8:14265258-14265288,2.3049484710814e-05,0.00106027629669744
PGA_scaffold8:18093213-18093280,0.954483873320334,1
PGA_scaffold8:25782220-25782477,3.94859492649502e-05,0.00169789581839286
PGA_scaffold8:5043819-5043828,0.102159554190639,1
PGA_scaffold9:3996062-3996168,0.855728420920315,1
