chr	start	end	number_of_dms	hypermethylated_samples	hypomethylated_samples	methylation_level_EPI.175	methylation_level_EPI.176	methylation_level_EPI.181	methylation_level_EPI.182	methylation_level_EPI.184	methylation_level_EPI.185	methylation_level_EPI.187	methylation_level_EPI.188	methylation_level_EPI.193	methylation_level_EPI.194	methylation_level_EPI.199	methylation_level_EPI.200	methylation_level_EPI.205	methylation_level_EPI.206	methylation_level_EPI.208	methylation_level_EPI.209	methylation_level_EPI.214	methylation_level_EPI.215	methylation_level_EPI.220	methylation_level_EPI.221	methylation_level_EPI.226	methylation_level_EPI.227	methylation_level_EPI.229	methylation_level_EPI.230
PGA_scaffold10__49_contigs__length_53961475	11112906	11112925	3	EPI-194,EPI-220,EPI-221,EPI-227	EPI-184,EPI-200,EPI-230	0.266666666666667	0.375	0.414634146341463	0.242424242424242	0	NA	0.428571428571429	0.321428571428571	0.357142857142857	0.475409836065574	0.439024390243902	0.1	0.459459459459459	0.326530612244898	0.242424242424242	0.296296296296296	0.355932203389831	NA	0.541666666666667	0.714285714285714	0.2	0.6	0.304347826086957	0.0967741935483871
PGA_scaffold10__49_contigs__length_53961475	18561472	18561475	4	EPI-182,EPI-184	EPI-188,EPI-208,EPI-230	0.888888888888889	0.849056603773585	0.736842105263158	0.893333333333333	0.941176470588235	0.916666666666667	0.905660377358491	0.685185185185185	0.80188679245283	0.9	0.775510204081633	0.82	0.707317073170732	0.891304347826087	0.645569620253165	0.716049382716049	0.76	0.844827586206897	0.863636363636364	0.844444444444444	0.833333333333333	0.884615384615385	0.8125	0.699029126213592
PGA_scaffold11__79_contigs__length_51449921	45690766	45690850	9	EPI-182,EPI-200,EPI-206,EPI-187	EPI-194,EPI-229,EPI-209,EPI-230,EPI-193	0.969072164948454	0.935897435897436	0.9453125	0.991379310344828	0.983870967741935	1	0.952380952380952	1	0.847058823529412	0.79	0.935483870967742	0.952	0.981132075471698	0.99	0.925619834710744	0.85	0.9375	0.935064935064935	1	0.925	0.9375	0.966666666666667	0.818181818181818	0.841269841269841
PGA_scaffold11__79_contigs__length_51449921	47140700	47140954	4	EPI-214,EPI-221	EPI-209,EPI-182,EPI-193,EPI-199	0.9140625	0.962025316455696	0.972222222222222	0.876543209876543	0.945945945945946	NA	0.964601769911504	1	0.887640449438202	0.979020979020979	0.792207792207792	0.923728813559322	1	1	1	0.797619047619048	0.915492957746479	0.9625	1	0.959459459459459	1	0.983606557377049	0.878787878787879	0.983870967741935
PGA_scaffold12__71_contigs__length_50438331	23168536	23168543	3	EPI-176,EPI-181,EPI-182,EPI-193,EPI-205	EPI-200,EPI-214	0.0256410256410256	0.391304347826087	0.259259259259259	0.244444444444444	0.0526315789473684	NA	0.148148148148148	0.0357142857142857	0.2	0.06	NA	0	0.4	0.1	0.1	0.127659574468085	0	0.185185185185185	0.111111111111111	0	0	0	0	0
PGA_scaffold13__52_contigs__length_44396874	17937026	17937054	5	EPI-208,EPI-227,EPI-230	EPI-181,EPI-193,EPI-214,EPI-220	0.938775510204082	0.854166666666667	0.764044943820225	0.923076923076923	0.909090909090909	NA	0.833333333333333	0.945945945945946	0.774647887323944	0.924657534246575	0.87037037037037	0.884955752212389	0.954022988505747	0.906542056074766	0.949640287769784	0.876106194690266	0.827272727272727	0.891025641025641	0.763636363636364	0.833333333333333	0.891089108910891	0.972602739726027	0.948453608247423	0.947826086956522
PGA_scaffold14__91_contigs__length_45393038	19165388	19165418	4	EPI-176,EPI-194,EPI-205	EPI-181,EPI-200,EPI-208,EPI-209	0.516129032258065	0.8	0.243243243243243	0.696969696969697	0.482758620689655	0.5	0.277777777777778	0.631578947368421	0.551724137931034	0.680851063829787	0.541666666666667	0.354838709677419	0.8	0.666666666666667	0.206896551724138	0.378378378378378	0.681818181818182	0.6	0.6	0.615384615384615	0.470588235294118	0.466666666666667	0.526315789473684	0.5
PGA_scaffold17__51_contigs__length_34923512	11292333	11292361	4	EPI-176,EPI-187,EPI-193,EPI-200,EPI-226,EPI-199	EPI-184,EPI-208,EPI-215,EPI-221,EPI-230,EPI-182	0.733333333333333	0.8	0.620689655172414	0.483870967741935	0.166666666666667	NA	0.785714285714286	0.8	1	0.648648648648649	0.923076923076923	0.954545454545455	0.8	0.5625	0.464285714285714	0.709677419354839	0.526315789473684	0.483870967741935	NA	0.1	0.933333333333333	0.6	0.454545454545455	0.4375
PGA_scaffold18__69_contigs__length_27737463	6823471	6823718	3	EPI-206,EPI-209,EPI-229	EPI-181,EPI-182,EPI-187,EPI-194,EPI-215,EPI-175,EPI-176,EPI-184	0.782608695652174	0.810810810810811	0.757575757575758	0.90625	0.818181818181818	NA	0.785714285714286	1	0.90625	0.87037037037037	NA	0.84375	0.8	1	0.914893617021277	1	1	0.684210526315789	0.875	0.944444444444444	NA	0.90625	0.967213114754098	NA
PGA_scaffold1__77_contigs__length_89643857	8853971	8854263	11	EPI-181,EPI-209,EPI-229,EPI-199	EPI-176	0.0392156862745098	0.0220994475138122	0.272	0.0188679245283019	0.0172413793103448	0	0	0	0.008	0	0.211538461538462	0.0133333333333333	0.0267857142857143	0.0857142857142857	0	0.252173913043478	0.0441176470588235	0	NA	0	0.05	NA	0.0647482014388489	0.0241935483870968
