chr	start	end	strand	pvalue	qvalue	meth.diff
PGA_scaffold10971__1_contigs__length_10604	5001	6000	*	4.72880313992528e-05	0.00139485194812652	86.2745098039216
PGA_scaffold10__49_contigs__length_53961475	945001	946000	*	0.00049407114624506	0.00918177374750707	100
PGA_scaffold10__49_contigs__length_53961475	1420001	1421000	*	1.3291409607122e-11	2.21536190355073e-09	60.8108108108108
PGA_scaffold10__49_contigs__length_53961475	3316001	3317000	*	0.000139357312176882	0.00335699404073231	50.8454106280193
PGA_scaffold10__49_contigs__length_53961475	4694001	4695000	*	0.000317722398665864	0.00648419872075667	50.4761904761905
PGA_scaffold10__49_contigs__length_53961475	5171001	5172000	*	5.11126275414501e-06	0.000217640458080778	54.2857142857143
PGA_scaffold10__49_contigs__length_53961475	6163001	6164000	*	1.94331238084298e-10	2.61683990496493e-08	60.0118017309205
PGA_scaffold10__49_contigs__length_53961475	6307001	6308000	*	1.58477273937514e-05	0.000564773614775841	54.9261083743842
PGA_scaffold10__49_contigs__length_53961475	6361001	6362000	*	4.37603359240223e-06	0.000190434652719679	55.6511761331038
PGA_scaffold10__49_contigs__length_53961475	8222001	8223000	*	3.66723391001955e-05	0.00113155872094934	55.1196172248804
PGA_scaffold10__49_contigs__length_53961475	9984001	9985000	*	9.59956188240097e-07	5.17705488288017e-05	52.4213836477987
PGA_scaffold10__49_contigs__length_53961475	11827001	11828000	*	1.75953954939154e-10	2.3885529708914e-08	52.0075046904315
PGA_scaffold10__49_contigs__length_53961475	11830001	11831000	*	1.94868126551339e-16	6.5716298456729e-14	59.0725806451613
PGA_scaffold10__49_contigs__length_53961475	13680001	13681000	*	9.29590906537292e-06	0.000360721635414156	75
PGA_scaffold10__49_contigs__length_53961475	14963001	14964000	*	5.6186328088328e-06	0.000236074614668027	76.6233766233766
PGA_scaffold10__49_contigs__length_53961475	17715001	17716000	*	0.000105937814502887	0.00269087349985682	70.8333333333333
PGA_scaffold10__49_contigs__length_53961475	17780001	17781000	*	0.000161152614363867	0.00377045209333212	60.4848484848485
PGA_scaffold10__49_contigs__length_53961475	18536001	18537000	*	2.22260530490347e-05	0.000749013761734343	51.6071428571429
PGA_scaffold10__49_contigs__length_53961475	19112001	19113000	*	2.67644259483879e-05	0.00087330379060077	51.4285714285714
PGA_scaffold10__49_contigs__length_53961475	20240001	20241000	*	0.000158106375578417	0.00371354938669174	51.2338425381904
PGA_scaffold10__49_contigs__length_53961475	21044001	21045000	*	8.71468253400307e-08	6.39646387317834e-06	75
PGA_scaffold10__49_contigs__length_53961475	21370001	21371000	*	3.90590902174101e-07	2.3737876392097e-05	55.0260610573343
PGA_scaffold10__49_contigs__length_53961475	21816001	21817000	*	2.89794933925739e-05	0.000932426913166432	64.6825396825397
PGA_scaffold10__49_contigs__length_53961475	22478001	22479000	*	2.15070909696217e-29	2.35028298816691e-26	52.5821314102564
PGA_scaffold10__49_contigs__length_53961475	22543001	22544000	*	2.77429278966897e-08	2.31359086849432e-06	64.2857142857143
PGA_scaffold10__49_contigs__length_53961475	22546001	22547000	*	5.78353736823116e-27	5.27015009940109e-24	68.6071238702818
PGA_scaffold10__49_contigs__length_53961475	22825001	22826000	*	0.000358068766203408	0.00713103727811203	61.7543859649123
PGA_scaffold10__49_contigs__length_53961475	25828001	25829000	*	1.50927602633228e-05	0.000542189136260614	56.1728395061728
PGA_scaffold10__49_contigs__length_53961475	27397001	27398000	*	9.11294223737192e-17	3.20958848707607e-14	50.8527626956244
PGA_scaffold10__49_contigs__length_53961475	27398001	27399000	*	1.63385675338147e-35	2.64342253947886e-32	51.6408027536316
PGA_scaffold10__49_contigs__length_53961475	27399001	27400000	*	3.44441311300292e-56	1.65038482725829e-52	63.8573232323232
PGA_scaffold10__49_contigs__length_53961475	27400001	27401000	*	8.88764287184699e-113	2.3486269051048e-108	74.8034783055463
PGA_scaffold10__49_contigs__length_53961475	27547001	27548000	*	1.26524993902277e-09	1.44286803159958e-07	50.8498991645059
PGA_scaffold10__49_contigs__length_53961475	28711001	28712000	*	1.82527364911735e-204	1.44702713530779e-199	55.1385137297574
PGA_scaffold10__49_contigs__length_53961475	29462001	29463000	*	3.36734655299678e-09	3.50082796079356e-07	50.7692307692308
PGA_scaffold10__49_contigs__length_53961475	29464001	29465000	*	4.29366787804401e-07	2.57800398396276e-05	72.1976401179941
PGA_scaffold10__49_contigs__length_53961475	29468001	29469000	*	1.38240262242185e-09	1.56317969262921e-07	75.197628458498
PGA_scaffold10__49_contigs__length_53961475	29940001	29941000	*	1.23418138144618e-07	8.69079335236741e-06	53.5745047372954
PGA_scaffold10__49_contigs__length_53961475	29980001	29981000	*	8.93627333456022e-64	5.7300566035827e-60	52.878999492128
PGA_scaffold10__49_contigs__length_53961475	30599001	30600000	*	4.13923097941670e-11	6.305006623545e-09	58.9019607843137
PGA_scaffold10__49_contigs__length_53961475	31233001	31234000	*	0.000131063136893225	0.0031943419227626	67.8571428571429
PGA_scaffold10__49_contigs__length_53961475	31276001	31277000	*	6.36359305810043e-27	5.77457981036321e-24	59.8861687197879
PGA_scaffold10__49_contigs__length_53961475	31277001	31278000	*	8.35393519561484e-36	1.3745375506735e-32	60.3499742665981
PGA_scaffold10__49_contigs__length_53961475	31278001	31279000	*	9.52720581301242e-16	2.95455179116952e-13	73.8562091503268
PGA_scaffold10__49_contigs__length_53961475	32924001	32925000	*	2.18199041030002e-08	1.86604363363884e-06	53.9473684210526
PGA_scaffold10__49_contigs__length_53961475	34126001	34127000	*	3.8562195475179e-07	2.34735179290072e-05	56.25
PGA_scaffold10__49_contigs__length_53961475	34131001	34132000	*	8.86904277706134e-15	2.42452933371905e-12	50.3030303030303
PGA_scaffold10__49_contigs__length_53961475	34663001	34664000	*	4.49387765266046e-30	5.18371152938776e-27	61.3303184473337
PGA_scaffold10__49_contigs__length_53961475	34869001	34870000	*	2.96254536593123e-05	0.000949218365915028	64.9193548387097
PGA_scaffold10__49_contigs__length_53961475	35240001	35241000	*	1.75350921030713e-06	8.70218342490269e-05	88.2352941176471
PGA_scaffold10__49_contigs__length_53961475	35733001	35734000	*	1.44823003614525e-06	7.377783466312e-05	76.4492753623188
PGA_scaffold10__49_contigs__length_53961475	35799001	35800000	*	6.96525057840695e-05	0.00191435173695599	60.6593406593407
PGA_scaffold10__49_contigs__length_53961475	35804001	35805000	*	0.000126667128955458	0.00310682531492028	81.6176470588235
PGA_scaffold10__49_contigs__length_53961475	35810001	35811000	*	0.000140726146918097	0.00338267961015944	80
PGA_scaffold10__49_contigs__length_53961475	35995001	35996000	*	1.21567763361174e-26	1.07300774881779e-23	56.7244296633409
PGA_scaffold10__49_contigs__length_53961475	36088001	36089000	*	2.77933053806936e-05	0.000900741467063809	53.2860824742268
PGA_scaffold10__49_contigs__length_53961475	36776001	36777000	*	1.78751014538067e-07	1.20259079321702e-05	54.3560606060606
PGA_scaffold10__49_contigs__length_53961475	36917001	36918000	*	3.29926975436744e-05	0.00103710191141382	54.4179523141655
PGA_scaffold10__49_contigs__length_53961475	37107001	37108000	*	5.49175961469816e-06	0.000231647908535015	90
PGA_scaffold10__49_contigs__length_53961475	37198001	37199000	*	8.68310026943288e-08	6.3781143990421e-06	59.0245520902455
PGA_scaffold10__49_contigs__length_53961475	37288001	37289000	*	0.000292200483570884	0.00605948411002924	55.0802139037433
PGA_scaffold10__49_contigs__length_53961475	37460001	37461000	*	5.71297640575432e-09	5.63397859389952e-07	70
PGA_scaffold10__49_contigs__length_53961475	37801001	37802000	*	2.40462581141517e-06	0.000114206954428751	50.3472222222222
PGA_scaffold10__49_contigs__length_53961475	38202001	38203000	*	0.00033651904697806	0.00678884558537147	72.7272727272727
PGA_scaffold10__49_contigs__length_53961475	38393001	38394000	*	9.80358559240245e-10	1.14217990885803e-07	90.3890160183066
PGA_scaffold10__49_contigs__length_53961475	38671001	38672000	*	4.83435737816767e-06	0.000207552247635257	60
PGA_scaffold10__49_contigs__length_53961475	38693001	38694000	*	1.83192861047482e-07	1.22821043111856e-05	90
PGA_scaffold10__49_contigs__length_53961475	38755001	38756000	*	0.000543761005788408	0.00991607641390027	50.1547987616099
PGA_scaffold10__49_contigs__length_53961475	39471001	39472000	*	5.10563726649537e-08	3.9856511280128e-06	50.1642036124795
PGA_scaffold10__49_contigs__length_53961475	39643001	39644000	*	0.000109707604133838	0.00276809358873485	60.0378787878788
PGA_scaffold10__49_contigs__length_53961475	39653001	39654000	*	0.000153666753425886	0.00363275561756304	68.8888888888889
PGA_scaffold10__49_contigs__length_53961475	39763001	39764000	*	1.52916419707898e-07	1.0497599152992e-05	84.2105263157895
PGA_scaffold10__49_contigs__length_53961475	39823001	39824000	*	0.000544830818210769	0.00993163954125334	53.8961038961039
PGA_scaffold10__49_contigs__length_53961475	40196001	40197000	*	1.96173512010433e-08	1.69799610109774e-06	55.9259259259259
PGA_scaffold10__49_contigs__length_53961475	40625001	40626000	*	1.82071234124786e-09	2.00120010133997e-07	50.4882459312839
PGA_scaffold10__49_contigs__length_53961475	41350001	41351000	*	1.95518144917954e-10	2.63079145696405e-08	61.7948717948718
PGA_scaffold10__49_contigs__length_53961475	41417001	41418000	*	4.71559092248748e-05	0.0013914799767823	91.6666666666667
PGA_scaffold10__49_contigs__length_53961475	41673001	41674000	*	2.95915323077907e-12	5.5057169087263e-10	55.4418604651163
PGA_scaffold10__49_contigs__length_53961475	41932001	41933000	*	0.000480030721966206	0.0089831689620606	95.0819672131148
PGA_scaffold10__49_contigs__length_53961475	42263001	42264000	*	0.00026502550609187	0.00560742156525051	59.9078341013825
PGA_scaffold10__49_contigs__length_53961475	43141001	43142000	*	1.18965196723387e-05	0.000444926866231901	69.0518783542039
PGA_scaffold10__49_contigs__length_53961475	43437001	43438000	*	1.4602725031545e-09	1.64228863409263e-07	52.921686746988
PGA_scaffold10__49_contigs__length_53961475	43533001	43534000	*	1.02945488412344e-07	7.41189566753462e-06	52.4584825789645
PGA_scaffold10__49_contigs__length_53961475	43552001	43553000	*	1.08856898282056e-07	7.77788195846508e-06	57.6023391812865
PGA_scaffold10__49_contigs__length_53961475	43660001	43661000	*	0.000262659474649404	0.00556654490040248	54.2780748663102
PGA_scaffold10__49_contigs__length_53961475	43793001	43794000	*	2.13468532561821e-11	3.42827310327883e-09	61.7647058823529
PGA_scaffold10__49_contigs__length_53961475	43828001	43829000	*	1.13640337801659e-22	7.22303602654318e-20	55.8698999230177
PGA_scaffold10__49_contigs__length_53961475	44460001	44461000	*	4.38618984509327e-06	0.000190836460528099	86.2068965517241
PGA_scaffold10__49_contigs__length_53961475	44590001	44591000	*	4.69869814332127e-07	2.7887426808413e-05	61.8421052631579
PGA_scaffold10__49_contigs__length_53961475	44778001	44779000	*	3.78923443016812e-09	3.90222225824034e-07	53.6170212765957
PGA_scaffold10__49_contigs__length_53961475	45333001	45334000	*	1.57025984449251e-15	4.74972273904709e-13	70.7070707070707
PGA_scaffold10__49_contigs__length_53961475	45458001	45459000	*	8.84128215068446e-09	8.32797571926185e-07	53.8899430740038
PGA_scaffold10__49_contigs__length_53961475	45618001	45619000	*	1.23548984267567e-60	7.18272594897284e-57	52.7128598013389
PGA_scaffold10__49_contigs__length_53961475	45619001	45620000	*	1.27976749535342e-56	6.3410296503924e-53	64.4012237762238
PGA_scaffold10__49_contigs__length_53961475	46480001	46481000	*	1.66321133427342e-11	2.72371951263141e-09	52.5682471264368
PGA_scaffold10__49_contigs__length_53961475	46766001	46767000	*	6.3793140111e-06	0.000262849438964751	75.8620689655172
PGA_scaffold10__49_contigs__length_53961475	47026001	47027000	*	5.92550633182987e-05	0.00167857902708064	53.6613272311213
